,,,,,,,,,,,,,,,,,,,,,,,
Groups,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
B,BYL ,BYL ,BYL ,IKK ,IKK ,IKK ,PI-103,PI-103,PI-103,Tram,Tram,Tram,Bardox,Bardox,Bardox,DMSO .1%,DMSO .1%,DMSO .1%,,,,,
C,BYL ,BYL ,BYL ,IKK ,IKK ,IKK ,PI-103,PI-103,PI-103,Tram,Tram,Tram,Bardox,Bardox,Bardox,DMSO .1%,DMSO .1%,DMSO .1%,,,,,
D,BYL ,BYL ,BYL ,IKK ,IKK ,IKK ,PI-103,PI-103,PI-103,Tram,Tram,Tram,Bardox,Bardox,Bardox,DMSO .1%,DMSO .1%,DMSO .1%,,,,,
E,BYL ,BYL ,BYL ,IKK ,IKK ,IKK ,PI-103,PI-103,PI-103,Tram,Tram,Tram,Bardox,Bardox,Bardox,DMSO .1%,DMSO .1%,DMSO .1%,,,,,
F,BYL ,BYL ,BYL ,IKK ,IKK ,IKK ,PI-103,PI-103,PI-103,Tram,Tram,Tram,Bardox,Bardox,Bardox,DMSO .1%,DMSO .1%,DMSO .1%,,,,,
G,BYL ,BYL ,BYL ,IKK ,IKK ,IKK ,PI-103,PI-103,PI-103,Tram,Tram,Tram,Bardox,Bardox,Bardox,DMSO .1%,DMSO .1%,DMSO .1%,,,,,
H,BYL ,BYL ,BYL ,IKK ,IKK ,IKK ,PI-103,PI-103,PI-103,Tram,Tram,Tram,Bardox,Bardox,Bardox,DMSO .1%,DMSO .1%,DMSO .1%,,,,,
I,BYL ,BYL ,BYL ,IKK ,IKK ,IKK ,PI-103,PI-103,PI-103,Tram,Tram,Tram,Bardox,Bardox,Bardox,DMSO .1%,DMSO .1%,DMSO .1%,,,,,
J,BYL ,BYL ,BYL ,IKK ,IKK ,IKK ,PI-103,PI-103,PI-103,Tram,Tram,Tram,Bardox,Bardox,Bardox,DMSO .1%,DMSO .1%,DMSO .1%,,,,,
K,BYL ,BYL ,BYL ,IKK ,IKK ,IKK ,PI-103,PI-103,PI-103,Tram,Tram,Tram,Bardox,Bardox,Bardox,DMSO .1%,DMSO .1%,DMSO .1%,,,,,
L,BYL ,BYL ,BYL ,IKK ,IKK ,IKK ,PI-103,PI-103,PI-103,Tram,Tram,Tram,Bardox,Bardox,Bardox,DMSO .1%,DMSO .1%,DMSO .1%,,,,,
M,BYL ,BYL ,BYL ,IKK ,IKK ,IKK ,PI-103,PI-103,PI-103,Tram,Tram,Tram,Bardox,Bardox,Bardox,DMSO .1%,DMSO .1%,DMSO .1%,,,,,
N,,,,,,,,,,,,,,,,,,,,,,,
O,,,,,,,,,,,,,,,,,,,,,,,
P,,,,,,,,,,,,,,,,,,,,,,,
