1,,,,,2,,,,,3,,,,,4,,,,,5,,,,,6,,,,,7,,,,,8,,,,,9,,,,,10,,,,,11,,,,,12,,,,,13,,,,,14,,,,,15,,,,,16,,,,,18,,,,,31,,,,,122,,,,,138,,,,,192,,,,,203,,,,,233,,,,,246,,,,,369,,,,,405,,,,,643,,,,,967,,,,,1016,,,,,1166,,,,,1222,,,,,1250,,,,,1257,,,,,1458,,,,
Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,
6.93735644795829,17.5404742079659,3232.01176470588,0.610443329854121,,5.8896298285437,10.8175891057851,2317.58227848101,0.103992541888969,,3.78382279121091,3.52675104197775,2685.81481481481,0.46357266721954,,11.4282953321553,10.6809473862642,2473.32530120482,0.476584264054387,,18.4748502261129,5.37223882320198,3316.68115942029,NaN,,15.1349771578983,2.0718148965522,4195.80769230769,0.33719822292398,,15.2943181559314,2.33416198229455,2550.91228070175,0.375201243752332,,12.5731712931031,8.14488976092092,4100.09411764706,0.63156213971083,,8.013843022989,3.94989864020191,3163.56666666667,NaN,,18.0277370807133,10.0486734863917,3375.79452054795,NaN,,4.63846401264225,6.23460726424716,2574.8,0.384635498247837,,4.65654041799586,25.9966087302668,3598.14117647059,0.734757747668057,,6.09323550702818,9.67170734272426,3406.02380952381,0.693420003521191,,4.36519941099885,13.0542380911351,2805.42352941176,0.430847304898662,,7.46928293086662,13.4746318201352,2251.36111111111,0.414810402770571,,8.89244644678561,5.2445312462467,3353.35714285714,0.482727779436715,,15.5070231650408,9.61293962781484,1911.44262295082,0.536388994806466,,16.1264142703186,1.64115046611212,2458.525,0.509896811474356,,5.54271230396834,31.0736959453799,1910.93421052632,0.66887393609561,,18.0227476861321,4.41736652016054,3391.4358974359,0.449940759171706,,15.7352924642888,6.29902183448237,2131.83582089552,0.360587234232104,,8.71333612694278,5.38375798190095,3892.53191489362,0.551025797943248,,6.53278305581687,6.66094570517682,3319.16216216216,0.332901428752299,,12.8584009768144,10.7356528335908,2209.37704918033,0.47950106030242,,12.1005692220224,2.72339542553926,2549.93939393939,0.423328376013056,,10.6900406345718,3.64389000956306,1822.57142857143,0.537556674251847,,9.90928498984657,3.49303335871624,3851.72916666667,0.520426724392772,,17.8671269019873,3.07914670489069,1344.03571428571,NaN,,23.1813799060947,4.67414608897665,2255.53333333333,0.293010635241696,,7.67112168681446,5.05435070731079,2162.40540540541,0.139079747060975,,19.0597211617485,4.76299834919685,3069.23529411765,0.600827125344001,,20.0644748148336,6.65676036226555,3043.38095238095,NaN,,27.5069291129653,3.66714066574308,2809.71428571429,0.607225334921332,,9.77639283074704,3.49834261756819,4667.72,0.490667469570001,
x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame
55.5850556438792,239.255961844197,2516,0.751959996822058,0,6.59722222222222,810.449494949495,792,0.0454023715460757,0,64.1654699738903,63.3358355091384,3064,0.316930944499888,0,96.385101010101,608.434764309764,2376,0.852387168515598,0,224.724269889225,274.047935548842,4965,NaN,0,229.001967213115,410.810819672131,3050,0.149927621403536,0,247.631443298969,590.947594501718,1164,0.940813299825987,0,330.606334841629,134.740465416936,3094,0.446668660603156,0,397.052969502408,683.833707865169,3115,NaN,0,394.573561946903,134.732577433628,3616,NaN,0,475.164071190211,681.202725250278,3596,0.447686427523502,0,566.184243066596,301.542660307366,5661,0.81976261551809,0,581.747046560111,210.173036831133,2878,0.223824078890278,0,685.853982300885,971.129339686862,2938,0.323676481330903,0,807.312130177515,29.616124260355,1352,0.237748076042094,0,922.397947548461,785.453591790194,4385,0.0306402479267795,0,998.379189944134,975.77374301676,1432,0.981927566174618,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.2831612390786,237.593725178713,2518,0.614002573640433,3.69669276415177,7.30960086299892,814.736785329018,927,0.0522745076205625,4.3460720341693,64.4287648054145,65.3357021996616,2955,0.340883681464313,2.01712442555526,96.902144772118,611.890080428954,2238,0.894377257305495,3.49378644673307,219.773905996759,273.293354943274,4936,NaN,5.00754376497409,228.556600713591,411.491080116769,3083,0.156286562992051,0.81308400023472,246.169894366197,592.317781690141,1136,0.892396683374982,2.00338169458645,332.70145221209,136.013171225937,2961,0.42206071667685,2.45138672434094,399.5668261563,688.401275917065,3135,NaN,5.21365065813069,394.982871125612,139.91870581838,3678,NaN,5.20225543652924,477.122514619883,682.840350877193,3420,0.437506717725966,2.55290390754388,552.090118577075,328.873517786561,2530,0.432946796559284,30.75093682596,590.818339100346,187.454440599769,1734,0.33149857030311,24.4626851157889,685.745999319033,971.121893088185,2937,0.351306673259425,0.108239439214577,812.886520737327,28.4902073732719,1736,0.403524950706795,5.68696043154378,925.820136228182,788.359727543636,4698,0.0325274064125236,4.4896548171375,998.68320830929,983.125793421812,1733,0.373255268704247,7.35833352905252,576.728351955307,271.930167597765,4296,0.782040014959468,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49.7947368421053,234.827067669173,2660,0.554774272597268,3.72110867276787,8.1003717472119,823.125650557621,1345,0.038499180486423,8.42605354925872,66.8981715006305,66.8231399747793,3172,0.28699710537884,2.88278347456492,97.8434146341463,612.696585365854,2050,0.990566146904919,1.23953183355887,236.435687263556,249.029003783102,3172,NaN,29.4342265433753,217.573747999085,381.692888177453,4373,0.177357596412273,31.757759628174,247.086021505376,594.633512544803,1116,0.991106040995219,2.49036108353279,332.167253521127,139.405985915493,2840,0.368681531457052,3.43461202453679,404.272813089994,692.147577092511,3178,NaN,6.01507153051754,396.520127965876,141.525459877366,3751,NaN,2.22369449318204,479.968427633635,683.772741481713,3199,0.440822012382061,2.99475760642541,567.045187793427,311.645735524257,5112,0.975535360258974,22.8133859158008,581.222882150672,225.882775867459,3199,0.20947755389908,39.60820300795,688.013005272408,972.203514938489,2845,0.403114553472425,2.51181643829528,814.365683646113,30.0504021447721,1865,0.348143822877084,2.14991409961966,926.761982793937,789.862965997542,4882,0.0278216186330553,1.77392243424762,1000.71108742004,978.597547974414,1876,0.666925451868512,4.96158246124251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44.7581607581608,225.040365040365,2849,0.702087155563278,11.0066637540209,8.81026925485285,832.577332498435,1597,0.0409978024380571,9.47830396124007,67.2039515615041,64.0474824729127,3138,0.258994188824991,2.79244982287891,98.086661341853,615.091453674121,2504,0.919101084815471,2.40718989171095,231.579485680888,241.761250730567,3422,NaN,8.7408768578524,218.618333690298,380.399014778325,4669,0.174872395206442,1.66290938997148,250.02534965035,595.504370629371,1144,0.978307577716473,3.06562289711067,344.400606980273,144.509863429439,3954,0.766250995834843,13.2553575030539,407.948552150689,694.890075906663,3557,NaN,4.58610481650213,407.427980922099,138.88839427663,3145,NaN,11.2220929909338,483.939706341768,682.956576069978,3201,0.408415975470242,4.0542792894645,571.319174514125,312.814866760168,4991,0.858575607919826,4.4310078239029,582.6426920855,230.705950317735,3462,0.239503908775018,5.02780986403012,688.521655806823,971.869681870448,2609,0.342346126038805,0.608415880362681,814.759537572254,28.0063583815029,1730,0.281830531290092,2.08164257770085,928.141083743842,790.254581280788,5075,0.0243530884200692,1.43362546018903,995.088811493252,976.294732259469,2297,0.938264282706578,6.07560258854754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.4087336244542,233.678602620087,2290,0.679300175193984,11.5390820114163,8.38855421686747,834.133734939759,1660,0.0296606090010918,1.61252352932411,68.3423163298043,64.0814886108438,3117,0.263579574947486,1.13887258423586,99.0567226890756,616.088235294118,2380,0.918102998715494,1.39089633522331,223.368806801524,241.328935795954,3411,NaN,8.22205229019627,217.372942289499,377.683822138127,5285,0.213854281132844,2.98718442928647,250.460622710623,596.613553113553,1092,0.995389731504807,1.19153196357325,338.61975377728,138.561835478456,3574,0.661590642426848,8.29441379846866,413.771184309781,698.717626351521,3977,NaN,6.96801174425196,402.599943133352,141.412567529144,3517,NaN,5.4480638302311,488.117508417508,681.871043771044,2970,0.357664173080618,4.31652760399941,584.488672286618,294.164646996839,3796,0.94927536235064,22.831258589928,584.074248460703,229.550525172039,2761,0.410882871885204,1.83966326339672,689.842669845054,973.605482717521,2517,0.349370894149546,2.18130297526526,815.548440065681,31.3530377668309,1827,0.268602188772167,3.43840516116336,925.763729751087,792.16001580403,5062,0.0241558549034515,3.04671835410399,988.670871223233,979.144323848636,3409,0.541791581183859,7.02211716895893,543.41564190851,341.298573536645,2033,0.553009204859107,76.9526633272901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48.0333601286174,227.900321543408,2488,0.687425806475587,7.24792559489799,8.42530197075652,831.169103623649,1573,0.032533310202005,2.96485905868655,69.7778874629812,67.0977295162883,3039,0.260083527924723,3.34044513172833,99.622231871472,616.280937907078,2303,0.985833707350866,0.597440317032784,214.52776952777,240.369171369171,3367,NaN,8.89297969360339,213.136171774638,369.25747843641,5449,0.272894846578638,9.43151592136983,248.888301387971,600.38202247191,1513,0.952892625433258,4.08332654174761,346.02847805789,142.02847805789,4284,0.897070104904227,8.17965807596127,413.072126570498,701.296416938111,4298,NaN,2.67186126367635,412.478607918263,138.621966794381,3132,NaN,10.2652554957731,486.139070680628,682.219240837696,3056,0.366380803367804,2.00884471175273,577.377041189374,296.258834998781,4103,0.729552159803731,7.41356326274806,585.970310862731,233.955640936081,2863,0.497938411815538,4.79584169119432,689.412267080745,975.013975155279,2576,0.319453593205264,1.47278562144913,816.383916990921,27.8171206225681,1542,0.309473025044357,3.63328112643364,921.190270473328,791.822877535687,5324,0.0216857116948073,4.58586872656581,985.450038530696,982.395068070897,3893,0.44201471995275,4.57614480014264,531.147127784291,349.10082063306,1706,0.968024996813255,14.5393087376829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45.0846743295019,223.586973180077,2610,0.634846469259438,5.22491359214309,8.06336633663366,821.73399339934,1515,0.0359528323187955,9.44204968998315,68.7234042553192,66.5046046363925,3149,0.321117217563035,1.20984790713241,97.4103165298945,616.167643610785,2559,0.998186787545505,2.21481490781471,213.601232394366,237.920774647887,3408,NaN,2.61784597796923,212.338988802172,367.916185951815,5894,0.295791141766557,1.56030965542751,236.606382978723,612.902015677492,1786,0.431637825805215,17.5384078433369,346.595831445401,140.862256456729,4414,0.768099601982587,1.29690504252837,411.900227790433,700.202050113895,4390,NaN,1.60342929269167,415.208359326263,136.143480973175,3206,NaN,3.68706315587278,485.667687595712,681.328637059724,3265,0.450974294150637,1.00765921922204,574.578070175439,297.447149122807,4560,0.597019880476613,3.04077772851076,586.283408650742,234.028082633957,3098,0.487596318950689,0.321368984889079,690.485535574668,972.060985144644,2558,0.383313470454869,3.14198269615819,816.472446236559,26.0396505376344,1488,0.476375499851735,1.77967337738346,922.130837657524,791.463491475167,5396,0.0260108886858818,1.00688875675653,992.643428063943,971.307282415631,2252,0.2271932009591,13.2168015689935,516.847404627892,360.886804252658,1599,0.678370207839857,18.5308254600563,448.713993871297,1010.02042900919,979,0.981303394407469,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85.8706145807415,230.999004727544,4019,0.178613217172504,41.453964030456,7.70204700530705,829.611827141774,1319,0.0336438247843609,7.88611540193415,69.3791653186671,70.1562601099968,3091,0.302949182375,3.71006876891887,100.820819112628,617.960182025028,1758,0.932420078082778,3.85288487154345,,,,,,188.827167019027,335.274841437632,3784,0.404833080349705,40.2276414329244,229.746183883564,625.267305644302,2817,0.722699206711427,14.1408177835845,347.978164924506,141.18606271777,4305,0.790440070175754,1.41975221153033,411.412491260778,702.731531111629,4291,NaN,2.57607473499037,417.448655256724,137.560513447433,3272,NaN,2.65083135810977,486.266798979303,684.56450240998,3527,0.520887814073901,3.29085992028435,577.793292102759,300.07231208373,4204,0.642578577451472,4.150799033117,587.344251766217,235.951188182402,3114,0.491390702533298,2.19629758141029,691.847260007773,975.497473766032,2573,0.294763026905187,3.69645065930035,817.930918846412,25.1509054325956,1491,0.511960476583843,1.70792570547465,922.526538886841,793.505897530409,5426,0.0275442712441057,2.08038505026684,1011.80136986301,956.021404109589,1168,0.353509847316774,24.5088720581688,513.310536044362,365.1337030191,1623,0.597537814237805,5.52680635716266,444.662306777646,1010.9405469679,841,0.930616976604054,4.15485082316914,240.922633744856,420.216049382716,2430,0.15719302309072,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
