1,,,,,2,,,,,5,,,,,51,,,,
Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,
5.83261923365679,8.07480072047274,2226.25882352941,0.539443462008973,,14.7601979629192,824.204332653142,1436.6375,0.420474256124004,,3.3181844089282,7.52473520139015,1139.22222222222,0.671750878426934,,18.9726814552154,7.47083153876673,2250.28,0.514192029036192,
x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame
351.939950372208,313.579652605459,2015,0.726819184532218,0,801.55421686747,976.0093708166,2988,0.378615935956489,0,,,,,,,,,,
351.616355653128,319.044456641054,1822,0.855027650489179,5.47437637449865,802.179288582903,973.165519219736,3486,0.309595400472678,2.91173600355839,1016.50828729282,342.683241252302,543,0.290151892275335,0,,,,,
347.733547351525,323.33975387908,1869,0.600930263965728,5.79014496105189,807.433743169399,981.515027322404,2928,0.266654545241679,9.86527133727559,,,,,,,,,,
344.637213651239,322.877512856475,2139,0.289118414820961,3.13064676169403,813.547372776169,991.673562267273,2417,0.518166325818457,11.8563189563582,,,,,,,,,,
338.334600760456,316.611216730038,2104,0.360942466961257,8.88759789792823,822.091134224864,1002.17186726102,2019,0.627671762717763,13.5355187353103,,,,,,,,,,
332.359071530081,321.513500710564,2111,0.343867552036089,7.72912270628395,811.066257668712,1005.79693251534,1630,0.519308380954732,11.6055590635028,1014.2811550152,354.372340425532,658,0.667994860068962,11.8993763560794,,,,,
330.723977213879,326.9782496116,1931,0.649961596006592,5.70412254200897,809.20420958352,998.294670846395,2233,0.91650796470961,7.72988701216574,1018.72595281307,351.197822141561,551,0.0898711745848247,5.46203202107174,,,,,
323.396818181818,334.113181818182,2200,0.578238740750831,10.2271460864516,811.018113207547,992.713962264151,2650,0.981167584542796,5.86809633843813,1016.89370932755,364.173535791757,922,0.0880358046508884,13.1044366884698,,,,,
