1,,,,,2,,,,,3,,,,,4,,,,,5,,,,,6,,,,,13,,,,,443,,,,
Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,
4.62586078420063,21.0509675326207,1052.54117647059,0.756494612524798,,6.47865321989071,3.75137108398296,2433.54117647059,0.387299910873963,,4.44330483168194,13.8116047332064,2967.02352941176,0.263745783634384,,4.22552306695489,7.42669761540251,2125.21176470588,0.592436021235037,,3.74866989099572,6.37322181569262,1357.84210526316,0.464262333892725,,5.63908660374886,13.3332928855118,3476.26506024096,0.590062822516853,,5.24647955492959,14.503405581665,3569.11904761905,0.68718061034899,,8.69021309327039,2.63716038595935,2088.42857142857,0.669174678746204,
x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame
347.054840893703,842.142857142857,1477,0.419567953592077,9.10963408876843,508.359507313318,157.622786759045,2598,0.470555623266612,1.57537924412153,708.96298722568,340.702915165411,3053,0.380381542674045,6.74994709227429,884.014375,716.1390625,3200,0.12355015276975,3.51573309819405,872.343044189853,15.1639934533552,3055,0.130968875252368,5.29167313349772,891.733819241982,481.45306122449,3430,0.340748780145141,4.00334121352867,877.055259026688,525.87284144427,3185,0.743359648128925,0.502390740760604,,,,,
358.336850649351,841.422077922078,1232,0.457163711199547,11.3050106948921,514.038635429511,152.83312782573,2433,0.427908962433876,7.42922128204743,704.91416893733,344.060286103542,2936,0.336924827207814,5.25974040692929,895.209982279976,715.709686946249,3386,0.093518061462389,11.2038379912252,868.459977020299,12.3948678667177,2611,0.0828638022841369,4.76930468284816,899.085310904175,480.077500750976,3329,0.331391686108002,7.47907723423055,877.630606060606,524.572727272727,3300,0.959114011042839,1.42173171466517,,,,,
348.661169415292,845.979010494753,1334,0.585315693377936,10.6950662370558,515.393401015228,152.486040609137,2364,0.426828440405133,1.39852040677508,703.317910970908,346.142306344199,2853,0.397776679764426,2.62351820612512,898.954905545399,716.243753808653,3282,0.0930145848612514,3.78281346056376,865.09978858351,11.9272727272727,2365,0.0938528939768005,3.39256710252941,902.273329652126,484.430977360574,3622,0.560828519034509,5.39594497077209,874.75975422427,523.658678955453,3255,0.988624655501126,3.0128515716018,,,,,
354.221200980392,845.588848039216,1632,0.462279191037211,5.57370413160016,520.125632049786,151.46674445741,2571,0.359183809274079,4.84076184183413,698.103281853282,346.385456885457,3108,0.370579163195689,5.22029491696659,908.24294947121,715.734430082256,3404,0.0641944968221965,9.30199820608824,866.669876203576,11.096744612563,2181,0.0754938103782266,1.7762184786817,903.198613622664,479.660337552743,3318,0.362403182419427,4.85954263302666,874.516632918716,521.095747758172,3457,0.980691740859192,2.574436693961,,,,,
358.996725605763,849.840209561231,1527,0.942767199252485,6.39372428545341,524.99148029819,148.349662761803,2817,0.302724902879852,5.77863975980289,704.977858659387,344.723081589324,3297,0.412424630609844,7.07271502948034,907.844670050761,715.547208121827,2955,0.105999897768768,0.440089262786338,870.851236146633,11.1854219948849,2346,0.0680201787899654,4.18230016277296,902.331125827815,481.877784467188,3322,0.491759955764881,2.38109342374437,871.636887608069,521.771469740634,3470,0.85551027160556,2.95796099564771,,,,,
355.366666666667,851.771171171171,1110,0.568212807790791,4.1116834314396,528.476895306859,146.784115523466,2770,0.303544419116517,3.82087109676917,708.485902819436,343.401319736053,3334,0.332512405054446,3.74879023494441,890.901633986928,717.883986928105,3060,0.140516058255117,17.1034208931963,853.018282988871,16.0429252782194,1258,0.983999303474882,18.4826826103387,905.228140394089,479.931650246305,3248,0.442587451864471,3.49000455628585,870.987828492393,519.268603042877,3615,0.994696798382692,2.58565648189856,,,,,
358.865049279757,850.692191053829,1319,0.587610639343007,3.66099426402118,534.909716251075,139.928632846088,2326,0.237474341674321,9.40100143815372,715.037603569152,342.632887189293,3138,0.312832950455405,6.59661059126222,881.057750759878,715.132978723404,2632,0.189787770282144,10.2210607634491,851.469645868465,15.6981450252951,1186,0.792374720192096,1.5865529784741,905.096714768192,480.863985262512,3257,0.543348830830853,0.94155258885866,868.244591499109,517.586663273097,3929,0.932212981999526,3.21780524433744,,,,,
349.520186335404,850.121894409938,1288,0.27113821768981,9.36224875287917,532.009377664109,140.094202898551,2346,0.250988667730029,2.90506064675325,719.07197316255,342.110399512046,3279,0.360006482262624,4.06806236296862,872.130956711531,716.403419425245,2749,0.344247742810455,9.01674395546965,850.835978835979,16.2010582010582,1323,0.825464392315346,0.808984283170289,905.29538099441,482.570461900559,3399,0.548874324306735,1.71800197486552,866.994467860906,519.283983140147,3796,0.928707015866163,2.10800945013935,,,,,
353.968497576737,855.800484652666,1238,0.456551564808756,7.21344994053268,534.95688225539,137.951077943615,2412,0.236988925287257,3.64427878846929,722.038101604278,341.013703208556,2992,0.35946991099501,3.16238212664441,861.949569976544,715.084831899922,2558,0.269120972404648,10.2664165563898,854.218125960061,17.9516129032258,1302,0.769489321943084,3.80832783964583,904.241115196078,484.845588235294,3264,0.617387536915509,2.50752392063114,867.278848625032,520.619892058597,3891,0.963885266802776,1.36584225201782,,,,,
354.465977605512,857.82601205857,1161,0.732608975882333,2.08572473042384,532.522368981679,137.0852151683,2347,0.24001391955892,2.58390658220295,721.917744610282,339.692537313433,3015,0.336522666979541,1.32663677336368,865.744010088272,713.219419924338,3172,0.179083797392684,4.22818372355599,857.355078447564,18.4327002477291,1211,0.589546519739813,3.17362819843307,906.964484249537,489.085546633725,3238,0.990569860959003,5.03924460824781,866.319886947585,518.810637204522,3892,0.869363468531338,2.04768421046928,,,,,
