1,,,,,2,,,,,3,,,,,4,,,,,5,,,,,6,,,,,56,,,,,69,,,,,462,,,,
Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,
2.42232906742986,3.64247529384806,4278.62352941177,0.267954880425714,,11.2196906073934,8.26617445317573,4237.24193548387,NaN,,2.70100338566408,6.43938976930772,2520.21176470588,0.720811919983069,,12.4379377305248,32.9158794334699,4491.2,0.475080496188038,,12.8344508356891,8.97136116939026,3051.60714285714,0.695649849240226,,11.4073777520929,6.15073461032032,2171.84705882353,0.529579876361031,,12.5805032423695,44.0747695676734,2875.56338028169,0.366648822225932,,10.8167598645665,8.72857875164085,2141.17567567568,0.543568011258605,,14.0190098439361,6.53570298469739,3282.91304347826,0.695504096167434,
x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame
24.6705298013245,187.967991169978,1812,0.544420456800865,0,394.7616468039,450.699711087035,5538,NaN,0,398.928954846858,814.175244711083,3167,0.472905955099322,0,448.550143266476,671.018147086915,2094,0.775842488980679,0,662.2293977813,670.715530903328,2524,0.923973856021242,0,708.095963442498,548.524752475248,1313,0.571671129800747,0,,,,,,,,,,,,,,,
25.7271778821075,190.888888888889,1917,0.520555266246636,3.1061469139372,399.618460955269,458.796626231994,5276,NaN,9.44185779206619,412.948312993539,815.231155778895,2786,0.512181046294449,14.0590665062811,451.504918032787,676.813661202186,1830,0.836406800612464,6.50528076103817,664.012836438923,673.775155279503,2415,0.966620344857534,3.54146223596861,724.136018237082,483.220364741641,1316,0.491039441902826,67.2454192869256,,,,,,,,,,,,,,,
26.8905,193.357,2000,0.484689318133281,2.72853272048699,399.422622747048,458.834679925419,4827,NaN,0.199501096194114,421.095222929936,810.18025477707,3140,0.849076259816493,9.58560078670076,450.24403771492,677.850249584027,3606,0.799949904231182,1.63227897411948,668.11301369863,676.854452054794,2336,0.96561692083861,5.12772095490148,787.261806130903,452.53024026512,1207,0.64591180488348,70.1908030841651,,,,,,,,,,,,,,,
29.5959550561798,197.163146067416,2225,0.453068864523192,4.66971465375702,399.592990142388,468.078641840088,4565,NaN,9.24553172777154,424.535805161759,815.025081788441,2751,0.918566200993085,5.94221800879451,457.646220159151,683.478779840849,3016,0.908797684509768,9.29906757635698,669.365384615385,680.742543171115,2548,0.930394782985159,4.08481155525439,790.020052310375,450.301656495205,1147,0.644638939122926,3.54605521757637,,,,,,,,,,,,,,,
30.811481768813,200.903413498836,2578,0.486853201201177,3.93282413129171,403.410532171333,465.991470424625,5393,NaN,4.35085183157176,430.85935302391,826.774964838256,2133,0.688042590670999,13.3434256939231,457.527719298246,684.553684210526,2850,0.868388983845534,1.08141659779528,670.031153846154,682.385,2600,0.880691123374157,1.77226214296628,788.576210826211,446.690170940171,1404,0.8497837854439,3.8894094854633,,,,,,,,,,,,,,,
33.8505303760849,202.029893924783,3111,0.517543740729784,3.24110700030128,404.419918998527,458.003681885125,5432,NaN,8.05131216129833,429.009510869565,811.191236413043,2944,0.694839152043184,15.6931356849664,457.490711531721,682.469681037504,2853,0.691138522654545,2.08433173941874,670.530859662013,686.292064658339,2722,0.910901529669144,3.93889072542622,786.32932416953,440.708476517755,1746,0.760374199478228,6.38977056013223,,,,,,,,,,,,,,,
36.2647896235369,203.429294527048,3161,0.428382850673607,2.79051424642988,402.247718383312,459.110635127584,5369,NaN,2.43799117999508,435.204841713222,820.963500931099,2685,0.593249649705295,11.5706213347945,456.33501344086,683.209341397849,2976,0.666407371180037,1.37212810112066,669.114459871317,684.21232644768,2953,0.880413603066185,2.51624708483864,785.210113680909,440.007840062721,2551,0.350395584067482,1.32042552230791,,,,,,,,,,,,,,,
38.2687576875769,204.472324723247,3252,0.415196936972016,2.25915913380949,405.099449357584,459.798765226097,5993,NaN,2.93358016459462,432.033030852995,822.693284936479,2755,0.821343890750923,3.61282947816862,457.405080960357,683.98883305416,3582,0.398367530304983,1.32387753910247,667.869217391304,685.519652173913,2875,0.932619983629666,1.80547206804726,783.795762213066,447.908475573867,3398,0.2293806521778,8.02623395837542,,,,,,,,,,,,,,,
