2,,,,,3,,,,,4,,,,,5,,,,,6,,,,,12,,,,,30,,,,,231,,,,,234,,,,,334,,,,,347,,,,
Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,
9.4826468762736,3.76523903448482,3543.37254901961,0.398326406351903,,8.77874182367859,5.2678262844298,2562.15476190476,0.33274369817078,,14.6425319502285,7.07341637329791,4546.64179104478,0.53667807446636,,16.2516374212271,5.712588983497,3062.70149253731,0.489299890530735,,11.8605207704007,2.31891882471203,2253.67088607595,0.352629387757427,,16.1257023007273,7.22443185189119,1815.96296296296,0.470761561470745,,21.980255918017,8.6136093372996,2356.20689655172,0.547071326725904,,20.8697152585799,16.370122049352,3771.33333333333,0.513050960307086,,15.6102399278849,11.3743993108755,1959.75471698113,0.262109891450117,,9.25551837270148,4.79421861817855,1917.88571428571,0.494137051288022,,22.1768836876342,16.6615420933131,2451.4,0.520154990778359,
x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame
241.022810044087,368.789534215066,5217,0.324961973766602,0,249.779788838612,649.559954751131,2652,0.156660866291604,0,421.040877796902,483.293674698795,4648,0.550036059981797,0,469.827349524815,631.92212249208,3788,0.542972736593259,0,831,625.865497076023,1197,0.189219965102189,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236.293785310734,370.894350282486,5310,0.311542671122998,5.17628492321716,252.187586685159,653.422676837725,2884,0.158921317802739,4.55171532371025,420.945226321795,485.630277672119,5258,0.687739012533774,2.33855995425264,440.262577532736,606.49827705031,1451,0.308843617154322,38.9929180748331,842.471769134253,629.539523212045,1594,0.0555612684144402,12.0457442741319,512.165473349244,663.348448687351,1257,0.709946794147756,0,,,,,,,,,,,,,,,,,,,,,,,,,
231.930786157231,371.889377875575,4999,0.279899422706256,4.47502419261359,252.616363011344,656.391543485734,2909,0.150011448522831,2.99966970040934,419.46182115149,488.088811759902,4898,0.762341328726046,2.87139003969855,435.540669856459,605.482570061517,1463,0.289818196077885,4.82991436677331,864.397562833206,631.375476009139,1313,0.207660175395828,22.0025260368486,518.376042456406,677.476118271418,1319,0.393450724573846,15.4325051923336,,,,,,,,,,,,,,,,,,,,,,,,,
232.100290095317,369.270824699544,4826,0.259444376472301,2.62403359748467,253.30098934551,656.346651445966,2628,0.178373125408465,0.686096576778926,420.139443059019,489.327514546966,4812,0.914804500403574,1.41193344186004,431.143512450852,600.674311926605,1526,0.503469499917812,6.51569946679826,860.484403669725,632.944342507645,1635,0.172702601017885,4.21594078811296,503.421124828532,661.943072702332,1458,0.736569867653592,21.5621210901849,,,,,,,,,,,,,,,,,,,,,,,,,
229.726665316866,371.289937234258,4939,0.265557700281412,3.11623330588647,257.358938547486,659.039804469274,2864,0.154033342599682,4.87032082441883,432.143449155244,470.816703857188,3137,0.690166171840086,22.062327047503,422.585785674625,593.803997779012,1801,0.876677512816827,10.9743293217935,858.842070338421,634.642335766423,1507,0.186450783938386,2.362295467965,479.842762063228,652.970881863561,1202,0.126330333524759,25.2277505762923,397.825637236794,508.114148503879,2707,0.649991975937612,0,,,,,,,,,,,,,,,,,,,,
229.318816762531,370.744248151191,4868,0.269716385619461,0.681261343869608,255.231807704972,658.483371748436,3037,0.218724716806063,2.19870484467411,425.638199181446,468.505866302865,3665,0.649123680958477,6.90349530484861,418.33966033966,591.2997002997,2002,0.883586774848182,4.92961319224093,860.785422740525,635.003498542274,1715,0.246741002297637,1.97662771138724,500.007514088917,663.056355666875,1597,0.577014649422615,22.5462636836986,403.582761998041,517.527260855371,3063,0.905604804773172,11.03409124751,,,,,,,,,,,,,,,,,,,,
226.466191402031,368.51090948369,4629,0.257831631709969,3.62288187098707,252.680312616301,657.504279866022,2687,0.20565905133952,2.73290104133383,419.882601506522,482.621164798824,5443,0.740305934057585,15.243639861451,406.090048939641,570.592169657422,3065,0.524377656179822,24.0594015875781,848.795797767564,634.428102429416,1523,0.547352717332228,12.0034239981322,516.759708737864,665.965210355987,1236,0.452061770840035,17.0028662630331,435.5,529,2,0,33.9165715418643,,,,,,,,,,,,,,,,,,,,
222.252950345135,369.220886216878,4491,0.263539975635094,4.27264170802829,252.291548295455,658.796875,2816,0.228561130171411,1.34979253129798,433.102505694761,460.168239505369,3073,0.673515234081427,26.055704192742,408.266143911439,586.154981549815,2168,0.793218526871311,15.714213417295,846.435660703982,638.607039815349,1733,0.230193997084933,4.79935043880409,508.647995283019,661.883254716981,1696,0.556587412944249,9.08087314151729,407.735232383808,508.15772113943,3335,0.83973941281779,34.7171846335916,,,,,,,,,,,,,,,,,,,,
