2,,,,,3,,,,,4,,,,,7,,,,,8,,,,,9,,,,,11,,,,,13,,,,,14,,,,,15,,,,,17,,,,,19,,,,,113,,,,,156,,,,,168,,,,,266,,,,,345,,,,,510,,,,,544,,,,,551,,,,,569,,,,,587,,,,,663,,,,,972,,,,,1046,,,,,1137,,,,
Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,
9.1743406570974,14.8347770175787,3848.69411764706,0.711306722585303,,6.95286669205211,3.75764314342507,2637.82352941176,0.508134239972957,,11.1189099407783,5.48280931032379,3836.03076923077,0.436840871062914,,18.9835647339357,6.61285510307408,2746.75,0.559677931912383,,18.6268142931973,2.87331825199281,4072.90909090909,NaN,,24.6666253489297,4.1530924231011,2754.1875,NaN,,19.9846473040001,12.5958188375355,3393.52112676056,NaN,,13.5395301576571,9.98330560501513,3792.61290322581,0.304967607638203,,9.10890439934247,7.86532834494318,4342.06976744186,0.663553741902508,,5.88850114351548,26.4417101498656,4628.97647058824,0.66487479288494,,14.3022958270848,5.22725051222088,3466.02173913043,0.610272881056518,,6.45497511895484,8.68285133118604,1694.76623376623,0.195543009629384,,18.288052728457,6.93118632954765,3092.12,0.570256968809437,,13.0196875489435,3.69362154824475,2371.62264150943,0.53388859568705,,20.3223331279149,6.47354448131165,3154.23076923077,0.585276443148224,,20.2567141889225,7.00128074286769,3074.21875,0.389436877613738,,21.9887316891251,6.84801301661813,3302.4,0.584291195198758,,20.3631090071157,31.6969054508609,1433.79661016949,0.0541019982495465,,21.8163868948278,4.06965909163572,3774.45454545455,0.577182515413032,,22.6047158382393,2.83120794461008,2837.2962962963,0.6240100054888,,12.4652448113007,3.082707978598,3435.68181818182,0.671053342479984,,9.33001075656145,2.9693468641978,3526.11320754717,0.528211731579889,,11.0781611004867,7.44994345599794,3417.34090909091,0.641571936924097,,13.0150458260858,9.98871779040707,4106.5,0.650021700098087,,12.8286722921335,4.055905992772,2587.54838709677,0.199633092345559,,18.9720314959712,1.97912772086276,3206.09523809524,0.586355287858836,
x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame
144.896224727143,660.965467883342,5589,0.551087449750619,0,113.0486366986,868.205600589536,1357,0.901285605017672,0,219.685010641532,107.282760717543,3289,0.448643654451852,0,819.796570275723,22.1634162743779,2974,0.388765367921516,0,820.518870486017,295.37822427369,3683,NaN,0,790.117647058824,52.9411764705882,34,NaN,0,870.530861300164,211.150199483689,4261,NaN,0,955.707219251337,385.94986631016,4488,0.187771676499837,0,969.67424027265,22.4529963078671,3521,0.375997352170846,0,986.631545064378,258.999356223176,4660,0.684857595108518,0,997.198553583169,800.252465483235,1521,0.355716852322119,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148.382778717804,665.655386350818,5319,0.513051848520922,5.84391940065618,127.426592797784,859.786703601108,1444,0.893489841467685,16.6614359552778,225.062374916611,111.686457638426,2998,0.743039592043742,6.95043833998121,850.715133531157,22.4758902077151,2696,0.77656372601154,30.9201422011495,825.2165,301.034,4000,NaN,7.3522460593321,801.879738890284,45.4029625910118,3983,NaN,13.9703784038208,874.454792490119,216.624258893281,4048,NaN,6.73517352435944,960.794697484704,395.851121685928,4413,0.147514220725118,11.1318144428998,964.192765567766,28.8965201465201,4368,0.556513638836772,8.45964327850626,988.655676805201,264.719758532621,4307,0.615860438468794,6.06795780193925,991.305615550756,775.261339092873,926,0.317490235702712,25.6765090484067,9.7698986975398,106.390738060781,691,0.297455802235872,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152.576517378523,671.40722808231,5783,0.521717529189764,7.118365490655,188.078148710167,827.182094081942,1318,0.90844741999338,68.8597981153749,229.905160857909,116.873324396783,2984,0.599185574764778,7.0962076098563,838.4736537348,23.6250723798494,3454,0.433256357636328,12.2953018372616,830.33325554259,299.061843640607,4285,NaN,5.48366556133079,788.312671420735,68.769884805266,3646,NaN,27.0199624997944,880.45089707271,210.141406987724,4236,NaN,8.83066469722125,966.728434504792,414.30762209037,4382,0.0945860309435683,19.3868935676328,980.481859809792,20.0690383938006,2839,0.353564933035619,18.5272508840415,991.547209181012,267.543296817945,3834,0.636698736769359,4.04145121572077,1006.79801829268,806.078506097561,1312,0.220319376486788,34.4922067272148,9.73558368495077,112.482419127989,711,0.319409194963886,6.0917777162878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173.929684378745,698.049540551338,2503,0.837795031802102,34.1433822963794,194.328125,818.3140625,1280,0.901802144850599,10.8491560852355,233.751161808196,114.022391212505,2367,0.863473997534095,4.78743598712557,842.917179365831,20.5754850922858,2113,0.216396583194375,5.38933230169496,833.677310111272,290.466376390905,4134,NaN,9.22305579507263,798.535146591311,69.5047686329919,2831,NaN,10.2488561729242,885.455220713073,203.676358234295,4712,NaN,8.17558013120217,974.496882494005,437.667386091127,4170,0.0603389134579557,24.6176229220487,963.414334911752,30.3603099440379,4646,0.585457879039097,19.9301449133202,985.22662037037,274.006481481482,4320,0.688117743974855,9.04005524917774,1009.16906873614,819.973946784922,1804,0.151691070710177,14.0962814990836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166.884547069272,707.008436944938,2252,0.917312495503558,11.3971831739508,215.541955350269,805.196304849885,1299,0.909659831946137,24.9419759421176,233.236076475478,112.78387364921,2406,0.987721185652986,1.34135701980174,866.839506172839,13.6728395061728,162,0.737802850529669,24.898277770738,834.111375432526,280.530709342561,4624,NaN,9.94514416178402,784.421764327109,47.5154539600773,3106,NaN,26.128863708932,889.76061020927,197.734989243106,5113,NaN,7.33731859765109,978.471468016567,477.523699953981,4346,0.0791730573753978,40.0540021072858,951.905758192927,31.3603036474727,5401,0.495734524865829,11.5519403348522,990.456201975851,276.772118551043,4555,0.460352933555956,5.91584923480223,1006.21495766698,809.890404515522,2126,0.190537763827582,10.5073591785817,5.92592592592593,95.3121693121693,567,0.04150039339016,17.587807452282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175.284056725398,705.594327460249,2327,0.773719247323895,8.51771495754794,224.564778898371,808.575640031032,1289,0.888581957421338,9.63489756285516,235.164422684619,112.667890656875,2451,0.802629563755391,1.93183103733682,860.923076923077,20.3076923076923,13,0.132930513595166,8.88962354463208,832.755519065864,274.862616310892,5481,NaN,5.82800352630863,,,,,,896.748959515702,197.662883087401,5286,NaN,6.98872129408451,982.305607043559,483.48030583874,4316,0.110599536574119,7.08390963696228,936.424561403509,35.1578947368421,2850,0.913227236117338,15.9401741557224,991.109395973154,277.987919463087,4470,0.500009106772372,1.38015733010465,1001.23739495798,796.961584633854,3332,0.309912216823906,13.8538988755739,,,,,,990.430147058824,20.4093137254902,2448,0.529767201138271,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175.522298111691,706.74206508638,2489,0.889297423597627,1.17220331708271,210.515413737155,814.408328826393,1849,0.5621042413761,15.2119992116982,234.055978674791,109.835872048743,2626,0.638715781581608,3.04121316578204,877.34375,17.46875,32,0.0977190117473529,16.6642760936559,830.707053661829,271.467431657104,5926,NaN,3.96528553131341,799.409610983982,14.6086956521739,437,NaN,36.1592351930278,898.527224162729,198.12101910828,4867,NaN,1.83633160635341,982.089785104504,483.695908154254,3397,0.0899111579352433,0.305063055502424,963.65502969228,29.3955371603383,5557,0.460561058946169,27.8334900446435,992.624183796856,276.578476420798,4135,0.475295399919995,2.06908478325376,993.152968568102,766.316880093132,4295,0.652377092269197,31.6931517278031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176.266321656051,706.400875796178,2512,0.9103306815522,0.818523772599001,213.903068679981,808.561617145641,2053,0.978792480896733,6.75723637957799,230.987985865724,113.320494699647,2830,0.975798235661012,4.64275509753317,905.640326975477,7.57220708446866,367,0.0876864980478764,29.9772885733189,832.443548387097,256.582017844887,5828,NaN,14.9863590738991,796.144557401438,36.3141581948921,4033,NaN,21.9496623912584,904.690400508582,193.227166772621,4719,NaN,7.86984963981689,980.868656716418,473.688059701493,2680,0.146160835790387,10.082072465204,981.474887058198,22.909380813181,3763,0.383973788708448,18.9635845952562,991.177134445535,273.965161923454,4076,0.497378876175093,2.98720010832646,982.719859710653,731.854449802718,4562,0.837032901551807,36.0070668335119,5.91173520561685,98.1303911735206,997,0.0201363638051949,2.81825758871346,928.473192526401,70.9569455727051,2462,0.564752431154378,79.9607860159855,992.642126789366,556.782890252215,2934,0.475085640502207,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
