1,,,,,2,,,,,3,,,,,4,,,,,5,,,,,6,,,,,7,,,,,8,,,,,9,,,,,10,,,,,11,,,,,12,,,,,14,,,,,15,,,,,16,,,,,18,,,,,19,,,,,20,,,,,21,,,,,22,,,,,23,,,,,65,,,,,112,,,,,140,,,,,305,,,,,339,,,,,430,,,,,431,,,,,448,,,,,543,,,,,771,,,,,772,,,,,869,,,,,1316,,,,,1397,,,,,1541,,,,,1580,,,,,1589,,,,
Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,
14.269143343044,3.39543131126956,2838.10526315789,0.142276916202825,,11.8647125717066,13.5797014545902,3002.58620689655,0.0640104425440588,,9.45817289640835,7.95366164125988,3353.37037037037,0.478679995313171,,6.76262983725318,2.09407714497341,3340.5,0.494367612050084,,15.4282299462806,10.5068883624408,3851.01298701299,0.605256524222543,,16.727547510608,5.30814368613674,3005.43333333333,0.449050985676454,,15.0818274914052,6.36587017213246,3214.26666666667,0.556099314210869,,22.3165237807648,2.4896979284239,2710.04761904762,0.585832476798716,,17.6415761047164,17.9872688110329,3256.54117647059,0.278249331473323,,14.2560428719726,28.7884471107952,3143.56338028169,0.442815807668631,,17.9781021082297,14.3729991641418,3367.01666666667,0.525245215149853,,7.40040204867676,2.52652583513517,1875.1,0.632801605971967,,13.119078468333,17.0969728285207,3554.96385542169,0.581867469269706,,11.3462769623527,20.1484923129542,2206.84615384615,0.575198366964341,,21.5836231915495,2.74785463148608,3030.20588235294,0.692851458018096,,10.553795942195,8.88347270066545,3653.01315789474,0.728611983480732,,13.5457981043293,7.77908687649928,3752.83333333333,0.657128052837406,,17.5629914668063,2.9341320691563,3491.12,0.61828359525325,,7.8936168406981,3.87366160583747,3034.29166666667,0.363883573119287,,17.3728861980327,5.99686590192412,3216.52941176471,NaN,,13.6687413467942,16.2774798276507,3640.45833333333,0.638923974198877,,23.6460795641251,16.7716971546609,2743.35714285714,0.562785647747961,,17.2705652817266,3.80799639915445,3376.76,0.653747042801654,,17.8018204513619,11.1932507917553,3567.45833333333,0.626604293159162,,11.1879103417993,4.14091445891606,3522.59375,0.507910562212727,,29.9851310018836,5.49232331074507,1709.16666666667,NaN,,19.2597824723948,6.79800033604312,2849.13888888889,NaN,,14.0611355934598,6.69161642342154,3091,0.583441345233367,,15.8714758408646,3.0633090013057,2855.19230769231,0.53802354637924,,11.0660138915816,5.21474086733918,3608.23214285714,0.490415522919435,,21.7926623942377,10.9203051744844,2702.91111111111,NaN,,21.8716094223531,3.63307978198063,3247.51020408163,0.601862588735969,,17.1513136479855,5.87542597811633,3637.68888888889,0.705078503504547,,9.19208811365871,3.38506367492462,3755.60606060606,0.485482292972471,,23.1537677513543,17.080800516922,3247.66666666667,0.58168278900077,,20.903450286109,2.50365849872934,2750.66666666667,0.686772838541698,,21.7411222892731,3.57905746529404,2790.86956521739,0.597364968846124,,12.4228995293528,14.830039797788,3710.21739130435,0.557831435941543,
x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame
24.3225806451613,17.2387096774194,930,0.401540453185478,0,80.6728905696053,1011.43039470574,4231,0.0326760463939928,0,94.376564483947,769.902231090151,5513,0.550768916682674,0,100.406764574989,18.380062305296,2247,0.428576937321869,0,102.625,345.57181425486,3704,0.650092533436887,0,140.154016212233,843.152542372881,4071,0.197826144016016,0,152.009067724568,360.518843865118,3529,0.400954671948061,0,212.248223590715,620.879677877783,2111,0.431574225289699,0,333.372194062274,160.631426502534,1381,0.768024985310384,0,363.992287917738,20.573264781491,2723,0.449900972095859,0,464.975221238938,26.6392330383481,3390,0.876886316151441,0,464.76335174954,483.190607734807,1086,0.0996215638493673,0,524.225391378941,56.7016941882908,4663,0.580351451932319,0,511.010037174721,148.489962825279,2690,0.611931920462584,0,554.632519863791,371.425368898978,3524,0.921060849134353,0,592.634920634921,414.594322344322,3276,0.883796025492879,0,618.688372093023,345.36976744186,4730,0.704048247006845,0,677.01443001443,330.10101010101,4158,0.862491060070613,0,731.891646277525,955.265641384131,2861,0.201489911038877,0,755.986563517915,309.26832247557,4912,NaN,0,821.352308128009,326.857830642877,3531,0.933951039524527,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.625260960334,12.9634655532359,958,0.57592544399946,4.28594536765906,82.0758640067435,1012.82495082888,3559,0.0291700691893647,1.97816107683525,94.0449369662464,772.154534363562,4918,0.556224797239476,2.27658666558477,102.346456692913,20.2084542063821,2413,0.533081830367348,2.66559983048768,104.282521346057,347.939477649422,3982,0.845288760762704,2.89019150967341,128.443756194252,848.038156590684,4036,0.370495428434114,12.6885545265771,154.735180220435,368.809353589514,3357,0.571666434320586,8.72721266100699,189.328618063112,666.025571273123,1838,0.349880844715289,50.6306232235427,342.53892733564,165.262975778547,1156,0.928090274478833,10.2703577153463,368.655172413793,22.6290491118077,2871,0.403480035524285,5.09595339817083,500.524283632831,26.4579893152016,4118,0.252401323474862,35.5495244183675,465.522177419355,490.402217741935,992,0.0942647544331385,7.2514229839454,517.281114718615,78.7862554112554,3696,0.71599864327429,23.1506117142943,515.613121272366,156.152286282306,2515,0.869160287652693,8.9386567206768,562.851465614431,373.781567080045,3548,0.863697662519322,8.55001398363876,598.240605884066,419.300320419458,3433,0.944984693440056,7.31916149539507,624.183375104428,345.920008354219,4788,0.673038648180162,5.5224834229698,684.091777188329,334.492042440318,3770,0.722482816790154,8.32886595070096,734.194279346211,958.084695393759,2692,0.205195321082288,3.63994293337189,762.61279896574,311.740357681534,4641,NaN,7.07233725648996,829.98042007832,329.032039871841,2809,0.768080561895876,8.89783690558554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,87.042852861852,1013.00059934073,3337,0.0319119450044835,4.97009362954903,81.8929043631556,785.170118995152,4538,0.692753505568495,17.806665597148,79.0678145695364,18.1472847682119,3775,0.107032106909866,23.3697154146367,106.709844559585,342.032815198618,4632,0.872686979099814,6.38596580719567,135.576382153249,850.016488845781,4124,0.306371367259011,7.40190188954994,160.321490467938,372.142980935875,3462,0.820228881257312,6.50537727313017,163.480392156863,713.295822676897,2346,0.750887212434553,53.8758522000022,338.859005704971,166.819070904645,1227,0.98219003475298,3.99540426607015,373.9371875,23.34875,3200,0.361681614778504,5.3308210192598,483.393101305158,37.2877563704164,3218,0.290498845449536,20.267246049086,468.464449541284,489.829128440367,872,0.12614617078986,2.99756510972762,534.56958073149,58.2018287243533,4484,0.381240608060547,26.8814002445331,518.063707945598,155.261274158912,2794,0.663600880864746,2.6075424535484,561.085566119274,376.619129933737,3471,0.818819154169962,3.3421795247481,598.746128150623,419.400850288491,3293,0.778880854478298,0.515421203048271,620.277181913775,345.720715036803,4755,0.698165987936895,3.91127384224991,680.262960180316,336.416228399699,3993,0.917518465086361,4.28512908640246,737.194768469424,957.496641922941,2829,0.209851710444461,3.05757123597467,756.96609403255,314.854882459313,4424,NaN,6.44868522986777,820.31650135257,321.680793507665,3327,0.835071433210879,12.1421640676079,552.727272727273,113,11,0.226337448559671,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.1516966067864,26.8715901530273,1503,0.218043166748472,14.6261597675123,78.6212011577424,1014.54341534009,2764,0.0237300187782524,8.5618046364781,88.6855147555756,785.87609822032,4439,0.793766464218414,6.82919926562264,102.388447048974,20.930514859774,2389,0.614463586242352,23.4861292890846,107.013392857143,347.132090336134,3808,0.912901228341439,5.10830191913519,141.329562982005,857.598457583548,3890,0.442792754513536,9.51763308752947,159.758361204013,367.829152731327,3588,0.453834149852922,4.35042852443835,149.336448598131,730.584631360332,1926,0.977915919364579,22.3372792677405,324.273275862069,153.276724137931,1160,0.852990943739105,19.9032326771326,376.514511873351,23.8868367047787,3411,0.452387471982882,2.63289540759374,486.455301455301,32.9230769230769,2886,0.359892395161921,5.33174422094341,478.356500408831,469.882256745707,1223,0.118791553051394,22.2650030489408,535.439841339797,60.0348171000441,4538,0.417685832612022,2.02908844356016,520.246882793017,156.915211970075,2406,0.57769127577127,2.7389345916981,,,,,,588.913550845439,414.349607049297,4199,0.991792872340916,11.0541682058804,607.521017234132,355.61937788987,4758,0.840273098130391,16.146308048989,672.39377329533,341.049112036834,4561,0.847235386804879,9.13168730443926,743.104060913706,959.874909354605,2758,0.223367937808587,6.3699209703542,755.957946096654,320.375697026022,4304,NaN,5.61210795874792,816.223135964912,326.072094298246,3648,0.766986649890319,6.00326268209462,550.25,113.583333333333,24,0.0565858297669995,2.54502611834675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.470207852194,35.4933025404157,2165,0.114619782098978,8.78415214591982,80.9903536977492,1015.98794212219,2488,0.0176613575622385,2.77480474664862,85.7121714159487,791.828363154407,4527,0.735218389103176,6.65358763832453,103.586743933357,22.9692140528794,2761,0.638161513337907,2.36478536512106,103.016216216216,342.672235872236,4070,0.479334549681485,5.98896676714153,134.229064039409,864.126354679803,4060,0.527585593134073,9.64523331667569,150.099075297226,366.224570673712,3785,0.548753266066685,9.79165398738549,141.815674255692,744.590192644483,2284,0.943967202608346,15.8971001630487,327.822360732372,152.858979353331,2567,0.235024948946809,3.57358561135422,380.864749082007,30.1037331701346,3268,0.490556165336898,7.58777737104448,511.808476881233,25.7402538531278,4412,0.24488786020948,26.3510237264561,471.437965260546,497.673697270471,806,0.116229059967162,28.6396629700763,523.135600706714,84.7294611307421,4528,0.549361600061207,27.5902116947244,522.864556962025,166.991983122363,2370,0.833838948387592,10.4112215858984,556.720472440945,382.238845144357,3048,0.812771500761822,7.11584442417522,596.127806046094,423.818617180485,3341,0.867568406095063,11.9041014345771,617.843867819916,355.150365934797,4509,0.753670769672975,10.3334997184119,675.926823113803,342.680797375725,3963,0.973489792222075,3.89163693899665,755.219465648855,963.124363867684,3144,0.270986278381057,12.5436034108646,748.920728929385,326.832801822323,4390,NaN,9.55073964725903,807.671766674635,321.766913698303,4183,0.892704287771629,9.57394885806349,,,,,,503.4,368.2,5,0.428571428571429,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.7690330870543,45.9033087054288,3113,0.0952052424330113,10.5480910091428,77.2548856548857,1015.56715176715,2405,0.0256985650051406,3.75909377671601,81.4531722054381,798.151273198101,4634,0.820390079929514,7.62353367512583,103.000385059684,22.3045822102426,2597,0.675671494173025,0.886313835490645,107.954485313575,351.866366763694,3779,0.413498029336503,10.4364047701876,131.148552564754,866.945149822245,3938,0.705269099910989,4.17554271928048,156.882571996028,354.262909632572,4028,0.328960475894588,13.7512603904436,128.597874224978,755.363153232949,2258,0.76660426056755,17.0518889713892,353.386629077729,138.956101490133,2483,0.706905512894937,29.1002032452073,382.418414918415,28.9385198135198,3432,0.615986010296637,1.94206068330874,484.134425303587,31.4721829991528,3541,0.685576859095446,28.2614249898565,481.61152764761,472.676194939082,2134,0.226042945880635,26.9884511310177,527.724321705426,88.7289244186046,4128,0.601475254771223,6.08704090630139,528.781905594406,169.247814685315,2288,0.659187707032272,6.33275539378729,,,,,,598.56408989874,422.165719930847,4049,0.873321831367836,2.94407002778912,590.495298672566,361.159845132743,3616,0.86800061637921,28.0010370279013,647.553808680248,347.566430469442,4516,0.581986258489294,28.7905776040204,759.235190615836,963.766568914956,3410,0.311930833865599,4.06675230782189,763.589835728953,318.950975359343,3896,NaN,16.6525037964165,814.211513157895,315.803289473684,3040,0.96387463674942,8.85059873442227,544.769200472627,27.6892477353289,2539,0.954783284384315,86.068769621603,520.446919596241,394.192133658197,2873,0.945070151737827,31.0835725074561,709.13599742185,330.953271028037,3103,0.849145267440146,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.4257738471257,57.3986102337334,3166,0.0550838800449592,11.9716055553133,84.0229339659945,1016.12613681297,2529,0.016342732005918,6.79109285924959,61.6900331379047,802.426714249299,3923,0.774888172496533,20.2203131030391,103.768704899354,20.9012533232055,2633,0.519461365918247,1.59988979033667,114.090686819293,362.16648144032,4499,0.852504279994913,11.9893841072185,128.002072777522,865.151543067711,4342,0.759649681149569,3.62178964620654,151.280500894454,325.267978533095,2795,0.685670194322663,29.5311569378938,108.920036764706,778.100490196078,3264,0.566384366339608,30.0699813649386,359.466731898239,134.845075016308,3066,0.396209378405189,7.33949514452224,383.371583143508,27.8522209567198,3512,0.525343478843523,1.44519025446895,479.198115676524,29.3274012038733,3821,0.947465412344607,5.3821224144001,479.459080280592,464.846843335931,2566,0.140808687944418,8.1198384339549,526.522209165687,88.2507638072856,4255,0.590436438148854,1.29372026667855,530.761861313869,173.61496350365,2192,0.831404711409554,4.79501965090019,617.687927927928,382.227387387387,2775,0.379295209729739,60.9674565636247,597.985307908721,429.825257893092,3199,0.706571778126477,7.68137425120237,605.303146853147,339.567132867133,2860,0.541946520940293,26.1823908519556,671.31976744186,341.092758985201,3784,0.972453707728904,24.6318740323293,759.514625228519,967.027422303473,3282,0.296819032898421,3.27280438220367,738.443510944064,321.104797700641,4523,NaN,25.2383953702489,800.942803563057,314.295827473043,4266,0.850590163718129,13.3540666463637,546.327503974563,29.1438791732909,2516,0.797829536021679,2.13172756806603,537.504229017567,384.041314248536,3074,0.474762710410805,19.8492050063069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.5682229460731,42.5038002171553,2763,0.0880854462714604,15.0481046504713,79.1576964477933,1017.49784714747,1858,0.0130674894070183,5.05491101309297,70.1780185758514,804.365325077399,3230,0.973954004453304,8.70655550362045,103.539104024298,21.3762338648443,2634,0.592287991750379,0.52756333910002,95.8695001496558,357.055073331338,3341,0.490663373087039,18.9245379469708,136.428354814253,866.16546626232,5276,0.550978996733074,8.48706481694985,143.811753230919,351.972933430871,4101,0.197714576764067,27.7297098389759,110.719861830743,780.222452504318,2895,0.537478585142349,2.78246191455022,361.494841930116,137.715806988353,3005,0.417044616556558,3.51487302142249,385.342879458474,30.5990627440771,3841,0.390811949602426,3.38099822037396,510.072885817703,29.4893056926621,6078,0.410532267472095,30.8751946444733,488.79499518768,454.702919473853,3117,0.232009504102301,13.7861705513907,539.129825424146,81.1517088763216,4067,0.974747315788129,14.4688827707388,516.112518628912,158.327868852459,1342,0.275289109823595,21.173060807917,623.909540098822,381.982516153554,2631,0.474368405493111,6.226429147286,600.716520650814,431.491551939925,3196,0.656756008690473,3.19938414278101,624.568939955523,337.729799851742,2698,0.437193229613763,19.3532058448464,686.101570680628,347.664397905759,3820,0.824646715229777,16.1767779576726,760.813031992956,969.32932198415,3407,0.287821557599274,2.64283981085389,740.754074383619,315.524864187213,4786,NaN,6.03940075028072,805.172500629564,315.863258625032,3971,0.635635395135628,4.51078459812125,477.833333333333,83.6666666666667,6,0.195121951219512,87.5453355004004,558.080624601657,376.713193116635,3138,0.48911000837515,21.8423765775795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
