1,,,,,2,,,,,3,,,,,4,,,,,100,,,,,271,,,,
Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,
2.56394004954572,8.80916399304404,1393.47368421053,0.641162956001751,,2.05041039729789,5.2502969484229,1346.91764705882,0.639206445609859,,1.97768690123964,5.80685325490012,1342.42352941176,0.674808573702466,,4.05920432942329,22.4107587071085,4499.37647058823,0.375563128643911,,7.92097968657407,8.155759576172,2254.58333333333,0.294187188693362,,2.82362039459359,9.37982853148156,1048.95833333333,0.376891098433291,
x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame
217.209170854271,107.229271356784,1592,0.738198786559377,2.59098432348679,365.4224,935.8672,1250,0.789672653224962,2.44986559533832,389.313782991202,814.50146627566,1364,0.91793769534286,0.603001683180023,724.524666822539,193.502688800561,4277,0.350835217407215,1.69482569391772,,,,,,,,,,
217.129756706176,106.666250779788,1603,0.705143323708641,0.568593683607774,366.226067746686,932.555964653903,1358,0.898291576306503,3.40736868628965,389.245769540693,815.561643835616,1241,0.69583462951708,1.06235694946933,724.22275334608,198.239961759082,4184,0.31657669966905,4.74688390744943,,,,,,,,,,
217.283895607893,109.892425206875,1571,0.79238531878301,3.22985452226734,367.559851301115,931.573977695167,1345,0.870591991535341,1.65628408106577,387.343876723439,815.491484184915,1233,0.758506877906622,1.90318645037995,724.228159851301,200.814823420074,4304,0.331796104773655,2.574867337077,,,,,,,,,,
219.263931414574,110.101653398653,1633,0.964768110013348,1.99105957519483,369.204016064257,928.151807228916,1245,0.958401578388327,3.79664700340204,389.510187449063,815.669926650367,1227,0.893335733532477,2.17364759642176,719.012167125803,193.730027548209,4356,0.212606614185033,8.79777884800705,,,,,,,,,,
228.675564681725,118.448665297741,974,0.247772789134194,12.5798031939636,367.49537037037,926.04475308642,1296,0.989682465422615,2.71277482785554,389.471217105263,813.556743421053,1216,0.873989611696966,2.11354253525931,721.735744456177,195.011879619852,3788,0.250891289136908,3.01015252239844,,,,,,,,,,
230.496023138106,116.810556760665,1383,0.286320507038604,2.448972962417,366.90092879257,926.028637770898,1292,0.757725882990344,0.594659980839933,388.396210873147,813.633443163097,1214,0.959965548931033,1.07773895239948,722.227829074512,191.32080738673,4657,0.290562571443688,3.72372951511371,1017.30943396226,657.522641509434,530,0.21402627808668,9.05420306585522,,,,,
230.518361581921,116.376412429379,1416,0.338940122570685,0.434718652073336,365.952793076318,925.179386309992,1271,0.844600175525575,1.27286659956295,389.527896995708,812.922746781116,1165,0.935141938881339,1.33633933840165,723.535462555066,193.955286343612,4540,0.315849846285607,2.94115363313865,,,,,,,,,,
231.184191954834,118.497529992943,1417,0.33551859280588,2.22316661632787,367.215701219512,925.18368902439,1312,0.955788125721914,1.26291547282381,388.585884353742,814.415816326531,1176,0.954618057509793,1.76540207461926,728.964508872782,190.374156460885,4001,0.477148555551051,6.50377084135563,,,,,,,,,,
232.303206997085,122.297376093294,1372,0.312419682250565,3.96118985295329,366.202312138728,928.313790255987,1211,0.989618320534562,3.29005944461406,390.226381461676,818.0311942959,1122,0.885388383069043,3.97016229171338,724.99976695409,196.150314611979,4291,0.372973173970024,7.00593901402798,1010.38856015779,659.199211045365,507,0.321647278600367,7.12105186234839,,,,,
228.543178973717,120.239048811014,799,0.41176407457597,4.28655128716421,365.779187817259,929.961082910321,1182,0.838767540870171,1.70076667431015,389.66875,819.308035714286,1120,0.939642629502556,1.39329711646698,727.440311208364,194.722343787989,4113,0.462748171430579,2.82760621926623,1006.16504854369,661.385922330097,824,0.43777097549501,4.75602319140966,,,,,
226.110924369748,117.929411764706,595,0.561687440837098,3.35414456221069,366.325814536341,929.643274853801,1197,0.918204455343047,0.632299557807457,389.793787748059,816.765314926661,1159,0.844664598791031,2.54579328348915,725.344275006462,196.171879038511,3869,0.339901501560479,2.54843485343253,1002.56432246998,661.167238421955,1166,0.366792176180165,3.60736065698314,,,,,
225.666666666667,114.824953445065,537,0.275548538696767,3.1360845596274,366.027972027972,928.138986013986,1144,0.883644012266792,1.53349113899744,387.766346992153,813.307759372276,1147,0.529508545298231,4.00814251622455,728.443597560976,199.024390243902,3936,0.430387251984714,4.21219900690854,1009.35698447894,667.385070214338,1353,0.391882065521136,9.20878327284566,,,,,
226.56374501992,113.858565737052,502,0.184391260235727,1.31858059066395,364.535682023487,927.761517615176,1107,0.838280313606545,1.53928939760735,387.466198419666,811.698858647937,1139,0.592386845737904,1.63665839635031,726.40443285528,198.882138200782,3835,0.427403375689701,2.04412043205021,1007.62255965293,666.075921908894,922,0.608738079763953,2.17303906148032,,,,,
,,,,,366.066287878788,928.419507575758,1056,0.847997440381013,1.66604473904744,388.435121107266,813.356401384083,1156,0.627165441839296,1.91996330608097,721.892144791923,185.783304604777,4061,0.340128584649834,13.8542479096683,1000.19273034658,660.221470836855,1183,0.27766036880947,9.45922623032225,,,,,
,,,,,365.456106870229,927.663167938931,1048,0.905484050985978,0.971787275817311,392.77967416602,812.658650116369,1289,0.975820675201563,4.4002270523148,726.491516146689,196.17925561029,3654,0.400553845090881,11.367937991037,994.798571428571,658.560714285714,1400,0.413431982047185,5.64402894702458,,,,,
,,,,,364.974719101124,928.156367041198,1068,0.884801118884396,0.689187593272966,393.283970707893,811.639544344996,1229,0.969249802718226,1.13705390170868,726.192680898253,194.038536179651,3607,0.402083058222546,2.1614768530855,988.412299091544,659.142557651992,1431,0.293731198171518,6.41272298369097,,,,,
,,,,,364.022417153996,928.003898635478,1026,0.9411484865289,0.964430201334365,392.758426966292,812.101123595506,1246,0.934325032613251,0.6994652449097,721.730393607576,186.802604320805,3379,0.31204894301026,8.5012186026709,985.493481095176,652.889830508475,1534,0.288226609601849,6.90044166899474,,,,,
216.683241252302,113.390423572744,543,0.622886834314468,9.89158793055606,366.127516778523,921.770853307766,1043,0.860345260071691,6.57892836915641,392.770191507077,809.064113238967,1201,0.98490831729311,3.03703314274641,720.493569958848,177.521090534979,3888,0.348734085149576,9.36355866615483,982.657407407407,653.193783068783,1512,0.137445457011324,2.85231504595327,,,,,
,,,,,372.308988764045,916.284109149278,1246,0.77918244802533,8.26528628472679,393.682410423453,810.418566775244,1228,0.938918210644605,1.63299961216336,719.573805689748,176.054750402577,3726,0.320798226285709,1.73093029744371,1009.82466567608,659.90044576523,673,0.527409652482982,27.9828384257303,,,,,
,,,,,371.195437262357,918.752851711027,1315,0.855965996582862,2.70826268724092,393.160535117057,812.508361204013,1196,0.999346506304973,2.1539718173505,715.048931771192,178.4364805881,4353,0.247194113104196,5.11342572601356,,,,,,,,,,
,,,,,369.617715617716,919.437451437451,1287,0.904201963098632,1.71984952056629,392.456451612903,811.827419354839,1240,0.8363960222631,0.97949751545298,711.416455696203,167.301772151899,3950,0.243025714121179,11.71224207377,1002.4124386252,657.227495908347,611,0.108822933249816,7.87945244234026,,,,,
218.258964143426,118.231075697211,502,0.965794656051635,5.09065964485166,369.895652173913,921.79209486166,1265,0.879629749029851,2.37099016962115,392.646351242983,814.261427425822,1247,0.760952354547904,2.44140475118644,709.695037284649,161.084854718437,3889,0.216616040304072,6.45084054384548,992.712230215827,654.327338129496,1112,0.107060550760052,10.124473237042,,,,,
,,,,,370.6392092257,916.992586490939,1214,0.87700885546873,4.85676411717549,391.760204081633,808.499149659864,1176,0.808524490005264,5.83001731074813,711.71072982117,161.469067182214,4138,0.281795798288588,2.05198333792119,989.589726918075,650.861508452536,1538,0.0632752755873652,4.66497611935725,,,,,
,,,,,370.314218381775,917.904163393559,1273,0.917270293904526,0.967776574434536,391.101851851852,808.984006734007,1188,0.977339021726337,0.817627079299358,709.774526678141,159.370051635112,4067,0.259503496664276,2.85565209331392,982.120259481038,649.535429141717,2004,0.073879129651934,7.58626588853472,,,,,
,,,,,372.242899850523,920.195814648729,1338,0.877654818887695,2.9952425082483,392.404366812227,810.797379912664,1145,0.885075802217131,2.2326816851208,708.138389206868,169.511447260834,4892,0.163165254806598,10.2725289516418,984.019210245464,651.201707577375,1874,0.101999525547657,2.5263605900295,,,,,
,,,,,374.273361227336,921.813110181311,1434,0.761731509946115,2.59584634415013,391.472152950956,811.901911886949,1203,0.79973289652927,1.44534202366264,710.421371810958,171.11982434128,4782,0.172551660711399,2.79264863587923,980.714809720312,650.762035763411,2181,0.140369632224561,3.33352278147632,,,,,
,,,,,376.851332398317,920.690743338008,1426,0.761386060944784,2.81169747472119,392.171608265948,810.666666666667,1113,0.905386005033287,1.41953108169621,710.235608816606,168.070404451102,4673,0.182678561195716,3.05507275800138,980.466772781536,648.943493832073,2513,0.193813949999052,1.83537927389187,,,,,
,,,,,378.984268125855,919.179206566347,1462,0.5041814018724,2.61422229924909,390.172727272727,808.014876033058,1210,0.663290447142197,3.32077081256055,708.098631327395,163.177275689768,4603,0.189084721029685,5.33941774582143,979.379294755877,653.277576853526,2212,0.116344360479907,4.46843195015182,,,,,
217.638888888889,117.688492063492,504,0.532891326790694,0.82394800859607,382.068450528936,920.401991288114,1607,0.35799236363881,3.31773771887721,391.492357200322,810.535800482703,1243,0.620959492233696,2.84543199297098,708.166599108229,164.219497365221,4934,0.185391125569045,1.04443556049008,980.012415349887,658.237396538751,2658,0.211186230861602,5.00006529922383,,,,,
,,,,,380.557261676264,919.736404350608,1563,0.428298055905044,1.65127154636073,393.366084425036,811.832605531295,1374,0.621589327221143,2.27871829033145,714.888727423708,178.211542453809,4817,0.227684994674743,15.5230259566509,976.75789151088,661.650321789764,3263,0.211996749380401,4.71592877254009,,,,,
