1,,,,,2,,,,,3,,,,,4,,,,,14,,,,
Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,
16.7425156507542,3.55527423903034,3739.58823529412,0.321088765940176,,8.18524700828976,3.99950949711278,4018.29411764706,0.608931700109419,,5.70000426613858,7.33969897851889,2605.58823529412,0.377656607127606,,13.1687830463287,5.89604136495878,2571.17857142857,0.608780893521809,,6.61465634715964,14.7075324694193,1209.10256410256,0.646368303773889,
x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame
393.281899109792,615.9353115727,1685,0.397377172077881,0,505.073754789272,967.08908045977,3132,0.171324417099491,0,673.292833412435,114.027527289986,2107,0.082019319739676,0,827.106048387097,925.909677419355,2480,0.838106031049688,0,,,,,
398.30282962071,614.998795906081,1661,0.36007299362714,5.10752433075877,509.547892720306,966.429118773946,3915,0.219382702306157,4.52255012716021,673.218867924528,117.799528301887,2120,0.0719521683982204,3.77272613996613,842.804551539491,931.960731816153,2241,0.995932027165623,16.8243353669249,,,,,
401.935340572557,599.366238894373,2026,0.827428098205262,16.0490490229038,510.60663627153,969.816869300912,3948,0.30411300866662,3.54933677469642,669.254272613589,120.704043351396,2399,0.0681395049340501,4.91469466522082,851.674061433447,932.526023890785,2344,0.926426770047402,8.88750588684036,,,,,
417.415107415107,599.862092862093,2886,0.709713661406076,15.4877065008682,514.499493670886,969.688607594937,3950,0.349250271956166,3.89496980693582,665.31743772242,120.435231316726,2810,0.0716217661926286,3.94600163080423,857.472167390446,929.489932885906,2533,0.403715163436171,6.54491262573408,8.99831365935919,557.178752107926,593,0.323560384782088,0
416.375370041445,595.070751924216,3378,0.562417740939491,4.90285649281825,516.72797029703,974.870297029703,4040,0.326201994830973,5.64056854152466,662.473803363519,121.674644243208,3092,0.0785709720764467,3.10199947928026,884.78177727784,924.396325459318,2667,0.531227656202395,27.7805620680694,11.9580552907531,562.683508102955,1049,0.345865654722912,6.24999272714926
412.395258718942,587.127421928425,4387,0.409872060189765,8.88469344218128,519.272139303483,975.107711442786,4020,0.395733441414474,2.55522240459319,664.691689008043,121.531836461126,2984,0.0792196667548181,2.22247852516272,902.563009972801,922.148232094288,2206,0.463670582719683,17.9227832640537,11.2269874476987,558.238493723849,956,0.349887715856397,4.50473229189102
413.074065474808,589.906431390759,4307,0.424997185532582,2.86071183511269,520.285536470003,976.602439631566,4017,0.354052290306183,1.80587545956062,660.165571616294,118.231603153745,3044,0.0954349837676845,5.60154251318648,885.823616784255,919.360935759376,2693,0.3038343982411,16.9698646187691,15.1792228390167,556.702616970658,1261,0.543848835141099,4.24017475929693
417.887072160453,597.254196642686,4587,0.662958367756397,8.78377410646947,522.189452124936,981.467997951869,3906,0.35593779418683,5.22480167942969,657.635625965997,117.631761978362,2588,0.0685988417029253,2.60008354272393,857.44428206065,937.712458896602,2737,0.594092700712849,33.7959323116046,18.4376108811354,558.905972797161,1691,0.649502423554654,3.93342974148619
415.897456439015,594.788503905468,4993,0.418192846883089,3.16831365135575,522.269315673289,984.25,3624,0.345955737210495,2.78314814233109,648.757288629738,117.774781341108,2744,0.149536886765802,8.87948919671272,842.201336302895,941.485968819599,2245,0.763445633519837,15.7030816247263,21.1740760578468,558.436529191216,1867,0.74642796103937,2.77643997999548
411.296917497733,586.15661831369,4412,0.207007135814027,9.78132953231741,522.159486709441,979.662083715246,3273,0.265208550604373,4.58923068032234,641.477924944812,115.097130242826,2718,0.187089258296465,7.75622015298304,862.803099017385,930.107331821618,2646,0.399672797960499,23.5352078145904,20.9547657512116,559.91760904685,1857,0.781970335700333,1.49722895689366
412.01747487986,578.776103101791,4578,0.172782592154912,7.4156056889513,522.186535303777,982.100492610837,3045,0.244209028299724,2.43855891225857,638.819407008086,115.412398921833,2597,0.237176229823457,2.67714623430571,901.402727637385,918.598074608905,2493,0.867477396990243,40.2789564312471,19.1116838487973,564.313860252005,1746,0.649408840206155,4.76696712363666
422.511877828054,570.058634992459,5304,0.186515992093385,13.6428275469675,520.568655135898,983.239675255913,2833,0.237999487851438,1.97870496447915,632.854944209311,111.752212389381,2599,0.152386521833453,6.99798413332844,920.62262295082,908.311475409836,3050,0.797595420269575,21.7995068508827,17.5711743772242,566.525504151839,1686,0.514233473743528,2.69528072224015
423.947464503043,570.784989858012,4930,0.14166182201431,1.60888175206179,518.669047619048,988.361507936508,2520,0.322881053580876,5.46275376766064,627.328801431127,112.908050089445,2795,0.191760177713294,5.64572535585728,936.203096867123,903.039611091105,2777,0.812903740827539,16.4482133027179,15.093653250774,572.355263157895,1292,0.479857612146111,6.33436666137183
420.06127360237,567.774342835987,5402,0.0974950343288604,4.91594092801222,515.774814814815,992.579259259259,2700,0.407947839513955,5.1152722064098,623.929681978799,113.203533568905,2830,0.210336278590697,3.41193838423708,956.430160287864,899.889106967615,3057,0.48174543176141,20.4709494371613,15.1473448017951,574.76215407629,1337,0.397619288035842,2.40748970417447
396.163747626081,566.453471196455,4739,0.107173422387452,23.9340019569541,516.672680412371,992.628129602356,2716,0.408864090023728,0.899194607251201,615.276229790162,111.615755073959,2907,0.149615817894973,8.79791312357857,965.014269620729,899.945174615096,2663,0.745477807996654,8.58429243558649,22.7995283018868,565.120283018868,2120,0.493428911330019,12.3094106198077
389.956648603585,563.259274697791,4798,0.21167107102274,6.9807570898261,516.142739273927,994.399752475248,2424,0.39597144277758,1.84918501344948,614.634015069968,111.852529601722,2787,0.12526111072938,0.684472003686847,974.535906358747,901.811135716545,3161,0.64696506610393,9.70275100179889,29.2502175805048,550.808529155788,2298,0.961027767215477,15.6983340137312
370.274627582893,559.533637674195,4162,0.459626747766921,20.0315332086824,513.857819905213,994.204739336493,2110,0.348211753662051,2.29322625264315,611.738697045212,112.457814168743,2809,0.158874873930049,2.95791072744778,980.223081683168,909.274133663366,3232,0.962708730284326,9.38297935226106,34.0417495029821,553.93717693837,2515,0.754886461159841,5.72251824912563
365.41782729805,561.248417320841,3949,0.439897577401501,5.15062891726807,510.816105769231,997.631610576923,1664,0.367332136701164,4.58208155574771,605.394332536702,113.180266302492,2929,0.218409796736514,6.38536593331949,979.664989939638,908.576794097921,2982,0.799052554806201,0.893167881046228,21.2531855955679,574.299168975069,1805,0.986867337275549,24.0449181016827
365.675550660793,557.837004405286,4540,0.506585046019864,3.42113422889465,507.288082083662,1000.28729281768,1267,0.329390406958069,4.41583506143544,601.139288158795,111.437713894593,2922,0.234418742344691,4.59803126916635,986.303283410138,915.135368663594,3472,0.800777122143639,9.33176513495646,22.2507856693903,566.072281583909,1591,0.788466294027663,8.28715162490196
357.300333418825,571.100025647602,3899,0.302716971829312,15.6860446360536,505.345646437995,1003.672823219,1137,0.413461843136597,3.90318745845061,593.916729464959,111.795026375283,2654,0.389332902928185,7.23139172599403,986.66421959783,915.031279923396,3133,0.854767411253255,0.375645307998413,14.3867647058824,576.596323529412,1360,0.368989459245455,13.1376666339645
370.16397515528,579.123975155279,4025,0.206445592230725,15.1610370498065,499.093163538874,1005.00536193029,1492,0.750191513044877,6.39290245670183,590.867678958785,115.188358640636,2766,0.545150263654585,4.56195274551213,986.851919561243,918.359536867764,3282,0.723456903013975,3.33354549451417,21.6293206197855,573.295589988081,1678,0.796189346721631,7.95923727984525
375.789300411523,583.495061728395,4860,0.218818193498652,7.12395129602933,496.509090909091,1009.1614973262,1870,0.302696077892485,4.89396493501079,589.632337434095,116.631282952548,2845,0.432693609756921,1.8994997374391,974.297479588214,908.280085197018,2817,0.712009093454633,16.099978540957,20.551978537894,569.388329979879,1491,0.940598264002526,4.05306633712145
379.1060546875,577.593359375,5120,0.128924548954538,6.76985595085177,515.744890768147,1008.74348132488,1419,0.638504147832887,19.2403413066143,588.455756747523,120.719849675436,2927,0.623373164306227,4.25449408972617,961.694740238787,903.804130364634,3099,0.355178082646908,13.3739751297495,19.8608380755303,581.256078634247,1933,0.6028450224544,11.8878565461554
386.564121037464,572.542987512008,4164,0.119072518582288,9.00716435039182,525.14749661705,1001.11276499774,2217,0.651636565849481,12.1093694474565,588.616493462957,122.32718739524,2983,0.452473017106098,1.61535470940392,957.274056029233,904.378197320341,3284,0.427012339374314,4.45780234535315,12.6477809254013,582.66194523135,1059,0.362160893989135,7.34878590924219
382.395574288725,573.879662802951,4745,0.138663917875131,4.37761154396317,521.21420824295,1003.20553145336,1844,0.688706512351741,4.45538201185799,584.311827956989,125.561735261402,2697,0.683786859900519,5.38446329885899,941.842692939245,894.946141215107,3045,0.559266275448376,18.0856476020996,18.0525210084034,567.170168067227,952,0.8327541479626,16.4075097156048
381.982837756935,575.0251446817,5011,0.117550273781546,1.21757142674184,519.912042502952,998.637544273908,1694,0.284623549249886,4.74996236680725,585.142119752237,130.811768754301,2906,0.531796947712771,5.31528326073279,924.313171508158,893.973736569837,2513,0.614742350721679,17.5564715246853,18.5129740518962,564.37125748503,1002,0.933245519740636,2.83653264610088
378.698993418506,575.107433217189,5166,0.144389638225137,3.28487519429676,524.604227642276,980.959349593496,3075,0.284492220781884,18.2903025819762,580.113421550094,132.308506616257,2645,0.790873581321695,5.24671610015645,927.905274115198,889.78452463567,2882,0.410967269813258,5.51839630407918,,,,,
380.852199151596,577.615315918732,4479,0.080421742513078,3.30541534057542,519.212121212121,982.892773892774,3861,0.431389642992115,5.72825813621902,580.081932021467,134.572450805009,2795,0.690172096898903,2.26416317437513,954.216889880952,896.658482142857,2688,0.480455627333851,27.1947130158662,,,,,
