2,,,,,3,,,,,4,,,,,5,,,,,6,,,,,7,,,,,76,,,,,218,,,,
Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,
1.95212348785139,24.7649082127056,619.036144578313,0.426227377519965,,7.82844854957125,18.9117190273112,2403.56470588235,0.784805231220301,,3.64225667578616,19.281767089426,1173.6338028169,0.799306267778565,,8.37730492633453,10.8516250674397,3905.13333333333,0.617328340752211,,8.42624642386279,3.43760677563663,1969.12195121951,0.646505730325545,,1.53118696952471,10.6481603195888,545.019230769231,0.842156766692946,,13.0415879734101,4.19689327664371,3473.28260869565,0.451318155699248,,7.72503377833359,7.58700641839004,3959.58064516129,0.693991982150031,
x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame
485.91395793499,348.007648183556,523,0.663889799222397,0,735.143028846154,67.1213942307692,2496,0.754649850938267,0,786.24651609803,269.922633349351,2081,0.915731857774487,0,809.301789401239,711.433241569167,2906,0.323720867120592,0,990.371731448763,267.580918727915,1415,0.788011743486478,0,,,,,,,,,,,,,,,
485.871632329635,339.450079239303,631,0.538885154121434,8.55767361451255,734.733956651084,69.2834679133022,2353,0.897647152280639,2.20043238239237,785.792119565217,273.475543478261,2208,0.958750984427324,3.58184960504214,811.976028506641,713.157434402332,3087,0.437946441530479,3.1818855602927,986.745233968804,267.140381282496,1154,0.52255905813273,3.65315715689407,145.10337972167,732.707753479125,503,0.962959460322336,0,,,,,,,,,,
484.791741472172,340.224416517056,557,0.461470128078789,1.32881995911798,737.716097987751,73.3442694663167,2286,0.785178909916355,5.03818183522864,788.124461464816,276.901866921972,2089,0.965701179557204,4.14481737565695,815.47001934236,714.10025789813,3102,0.481565602927387,3.6189622966145,982.22901459854,265.17700729927,1096,0.909790232007211,4.92453802892768,145.479717813051,735.904761904762,567,0.850793445741333,3.21908266942872,,,,,,,,,,
486.757950530035,340.1925795053,566,0.55459336564448,1.96646679467003,738.3040695016,72.4586191129401,2187,0.83087667599694,1.06305552514149,789,275.813378574891,2063,0.991373317932651,1.3969161064017,819.141558047893,710.723855713853,3299,0.437969772921965,4.98801445228713,984.958333333333,262.77178030303,1056,0.719314374691379,3.6378974228988,147.927619047619,736.070476190476,525,0.78015543994335,2.4535039593791,,,,,,,,,,
487.444055944056,341.910839160839,572,0.465922548284208,1.85017752742833,739.433257403189,73.7886104783599,2195,0.893713022749876,1.74468975728797,789.772750642673,277.45912596401,1945,0.93313346462931,1.81813861532765,820.692624074582,710.117630929531,3647,0.521428924788464,1.66532708747353,987.515151515152,266.424242424242,1122,0.610921152897934,4.45845250751482,149.368515205725,737.216457960644,559,0.867671813820369,1.84104751595392,,,,,,,,,,
486.313343328336,339.529235382309,667,0.716199570965816,2.6363891171939,739.933843384338,74.8168316831683,2222,0.813705526849079,1.14360184091357,791.568586387435,277.214136125654,1910,0.960816565219994,1.81246959783036,822.756300193852,710.860980337857,3611,0.4519290904476,2.19347383574635,988.5375,265.713333333333,1200,0.951607211154806,1.24522614813909,149.753320683112,737.210626185958,527,0.993865328882204,0.384849665484269,,,,,,,,,,
492.556900726392,342.018159806295,826,0.442037699201006,6.72136546924374,740.241647597254,74.5194508009153,2185,0.871762445529711,0.427993951613973,797.529296875,277.56640625,1536,0.743878091538113,5.97111076409394,823.461847389558,709.353413654619,3735,0.426111566884159,1.6644981675502,990.157031924072,261.663503019845,1159,0.600238504806203,4.36165212060075,149.714015151515,736.878787878788,528,0.988785839813855,0.334158026867279,,,,,,,,,,
490.312154696133,341.863259668508,724,0.403229637064137,2.25008417465945,741.535277516463,74.0065851364064,2126,0.824673347427201,1.39158526785269,803.9565807327,276.17842605156,1474,0.823450003443106,6.57544422976218,822.97262319562,707.118466898955,4018,0.407702119189891,2.28786523042488,989.71320754717,265.036226415094,1325,0.836861126238121,3.40179999094558,150.447619047619,737.777142857143,525,0.969420552251808,1.15983461903582,,,,,,,,,,
