1,,,,,2,,,,,3,,,,,4,,,,,45,,,,,71,,,,,153,,,,,221,,,,,331,,,,
Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,
6.75402416588359,5.54730173069038,4482.43055555556,0.588267580115787,,15.1148555745093,6.66422486693008,2225.77647058824,0.236811920275933,,2.2601211018243,8.69459339115421,1256.67058823529,0.534768243054598,,5.75436714077882,5.09103301225912,4216.80357142857,0.49810071767937,,5.89766192919999,6.05703016345988,2507.24657534247,0.468288464966817,,5.62472916401351,11.2261314721629,2370.72,0.385668741378668,,14.7913530581154,4.17764607029859,1663.92,0.407772219442932,,5.43247346777727,21.6221836188409,4477.7380952381,0.492407384722979,,1.94805429403256,6.56254074190812,714.3,0.337989446016032,
x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame
104.805,367.0658,5000,0.422183585719962,0,311.905758192927,860.875578596556,5401,0.507741319333565,0,491.071957236842,544.883634868421,2432,0.267023112200937,0,629.487867726004,333.528451793,4657,0.197228323796268,0,,,,,,,,,,,,,,,,,,,,,,,,,
105.426512383272,369.693869265124,4926,0.435167678495762,2.70056025758535,312.956642579211,863.446544376505,5397,0.476451986622269,2.77744901573445,493.372299382716,547.378472222222,2592,0.244706961186718,3.39349191983795,628.535493827161,328.757495590829,4536,0.177147284966671,4.86508367104108,,,,,,,,,,,,,,,,,,,,,,,,,
106.048004861252,369.518736074539,4937,0.428002731822076,0.645696937137882,318.815909090909,873.02972027972,5720,0.415807825136303,11.2324647538761,493.410552349547,549.171475680132,2426,0.266334612413905,1.79341146688309,629.49990112715,328.844769626261,5057,0.159181574315504,0.968348179909702,,,,,,,,,,,,,,,,,,,,,,,,,
109.041341207849,372.756525052391,5249,0.529187766522988,4.40946027864622,321.756772558955,881.662833755603,5131,0.403772840619925,9.12027007413483,493.980704697987,549.101510067114,2384,0.261904116414488,0.574429184004958,631.361842105263,329.303865131579,4864,0.134407037501523,1.91770511001526,,,,,,,,,,,,,,,,,,,,,,,,,
109.395097859887,372.56868483629,5467,0.615194940954362,0.40053428772758,329.478229835832,899.420592433976,5604,0.46509324699763,19.3638553949862,495.706757331067,551.305567360816,2353,0.254524107843663,2.79948678262346,632.024696439597,325.433216711257,4859,0.122405489677646,3.92699567892328,,,,,,,,,,,,,,,,,,,,,,,,,
111.784844141885,370.135077033321,5582,0.643496097849786,3.41076739620211,333.408273381295,902.560251798561,4448,0.613600785735407,5.03017924082908,495.333783175888,550.545659019343,2223,0.246928000826568,0.846504818575082,633.044487847222,320.718098958333,4608,0.135700577530978,4.82413825869525,,,,,,,,,,,,,,,,,,,,,,,,,
109.204956117708,366.706590948202,5811,0.687562746128602,4.29072710075469,337.734549356223,910.78025751073,4660,0.514298152525237,9.28898044563144,495.593765462642,550.436417615042,2021,0.233834428682806,0.282000840139611,633.233937765838,314.134766062234,4467,0.169990658463901,6.58605825152836,,,,,,,,,,,,,,,,,,,,,,,,,
108.691548537592,366.755607392787,5573,0.783337371633158,0.515742140182626,346.417761667422,940.161304938831,4414,0.693122815625794,30.6372995548514,496.354494667344,551.748095479939,1969,0.24688761733882,1.51631386729351,634.396457765668,318.787920072661,4404,0.186963551233585,4.79617503796058,,,,,,,,,,,,,,,,,,,,,,,,,
106.684314784801,365.715829281469,5553,0.907074679219148,2.26055874931786,348.081756245269,953.704012112036,3963,0.712919693120462,13.644551862714,494.937376725838,554.191814595661,2028,0.25512319308459,2.8248869670627,631.144273127753,315.696916299559,4540,0.246673910899427,4.48675932543914,,,,,,,,,,,,,,,,,,,,,,,,,
106.058979206049,363.74461247637,5290,0.898391482031831,2.06802811362845,343.60406779661,949.765875706215,4425,0.59519075117564,5.96310424142561,494.607911867802,552.381071607411,1997,0.237227362217943,1.84047202156837,629.639793814433,315.24618556701,4850,0.246357407315728,1.57054646460175,,,,,,,,,,,,,,,,,,,,,,,,,
106.761286456252,365.136636036756,5006,0.926206061700728,1.55915524126245,347.620733249052,943.11188369153,3164,0.476760268411547,7.77233626963803,494.969864389754,552.743847312908,1991,0.245435925813147,0.512460574723866,629.35386199794,315.158393408857,4855,0.287999236882804,0.299106112802919,,,,,,,,,,,,,,,,,,,,,,,,,
105.964854368932,364.539805825243,5150,0.869970142989282,0.995243875182602,335.402074688797,902.930705394191,2410,0.839529545908596,41.9978893085667,495.754484879549,552.7303946694,1951,0.228078849851049,0.784735806895309,628.493923951392,316.166797334379,5102,0.281414214118697,1.32528182697483,10.7680890538033,204.688311688312,539,0.835180485998809,0,,,,,,,,,,,,,,,,,,,,
103.991781920224,361.112246943275,4989,0.865755964836515,3.9548925114601,318.830798479087,887.025475285171,2630,0.746840206691854,22.9691867518062,499.915210688592,550.085817060637,1946,0.196236845749062,4.93005375090455,627.837603544596,312.026777114236,5191,0.284514133292246,4.19172087567441,,,,,,,,,,,,,,,,,,,,,,,,,
