1,,,,,3,,,,,4,,,,,5,,,,,6,,,,,7,,,,,8,,,,,10,,,,,13,,,,,14,,,,,15,,,,,17,,,,,132,,,,,137,,,,,198,,,,,239,,,,,272,,,,,293,,,,,316,,,,,547,,,,,566,,,,,608,,,,,626,,,,,683,,,,,748,,,,,777,,,,,787,,,,,800,,,,,924,,,,,1008,,,,,1044,,,,
Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,
11.6393016239998,6.52418527639948,3077.04545454545,0.563902346716023,,5.03839247468306,1.58380900194982,3440.72941176471,0.178807924044377,,6.05637596489232,8.24872070983563,2358.72941176471,0.594869441678543,,9.77446306076365,5.52698986637833,1655.61111111111,0.664072405579121,,14.4262727051529,2.55912417187745,3171.95238095238,0.64680697621079,,16.1828369134413,4.10212336128353,3281.42307692308,NaN,,7.60750736764126,18.1002752779684,3516.42352941176,0.50964412967813,,14.7291231573088,6.70638952175943,3971.14893617021,0.541344578003598,,15.7529406902737,11.3336604379726,4081.32692307692,0.713139310564512,,16.8735299033395,10.9602237165864,2389.33333333333,0.368611814500393,,11.0827689412924,9.73485473109966,3068.60465116279,0.286632501425819,,12.0938007572353,3.22227482783225,4028.69444444444,0.463434297127571,,7.29954986547739,1.64744721439763,3186.53571428571,0.733421928862813,,8.02916542809254,10.3089497884718,2403.15384615385,0.278502518445135,,12.102462541676,9.59799507287605,4517.84782608696,0.418015608148394,,8.354414935381,5.24656560399326,1900.75,0.518147015143072,,8.95470612207808,2.58256373374833,1475.03846153846,0.0825936390901716,,11.0490464329638,10.6494678390926,3462.67647058824,0.440776199537798,,16.7686776483931,2.02935213104164,2824.13114754098,0.483534152881739,,6.69866689519652,3.39455559011212,1531.02631578947,0.191648517214044,,14.9826081686442,6.34872650209311,2670.18181818182,0.492754036819837,,13.4090523176553,9.48908001083034,3644.64583333333,0.546350508359659,,24.3294266646878,7.80286985139227,2728.91666666667,0.331369002863176,,12.3230163843279,2.49895612412409,3866.88636363636,0.234767129943595,,8.09766791979837,21.5580404246142,3846.21951219512,0.321597958468276,,15.5430264170778,6.01042450701181,3153.58333333333,0.647408948322214,,7.57127670669731,2.24739401916406,1940.37142857143,0.274021862010894,,16.0461664925027,2.26966611849105,2909.47222222222,0.416268337877346,,9.62917926128364,1.59985705171459,2040.55172413793,0.230796656819443,,9.84326404771557,1.94611521233989,2272.45161290323,0.367379298713089,,1.3929362858659,2.88169926576363,791.5,0.150109115141862,
x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame
162.093638676845,630.0631043257,1965,0.901795953849139,0,187.365876777251,29.4691943127962,1055,0.0782431741057992,0,340.692164179104,172.55578358209,5360,0.70179810082244,0,340.763917525773,783.041237113402,970,0.970529726301138,0,424.263608087092,129.620917573872,2572,0.910257204538298,0,420.512121212121,777.912626262626,1980,NaN,0,445.50987654321,247.894444444444,1620,0.488203700850806,0,471.841059602649,380.397740553175,2567,0.780116034176509,0,607.441515650741,788.676482701812,4856,0.932441793120631,0,628.442351598174,514.13299086758,3504,0.481259924408567,0,665.445257528849,879.552772305094,3553,0.351811733871136,0,757.043111245101,449.711787760024,3317,0.37120975975967,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164.474731182796,633.161827956989,1860,0.939953914205795,3.90790092824871,189.498635122839,29.5723384895359,1099,0.0778932117037687,2.1352510114433,341.530791788856,174.475073313783,4433,0.981985030254604,2.09450933204459,334.939646201873,749.010405827263,961,0.964226687703438,34.525637061176,422.042942176871,139.151360544218,2352,0.95621126952869,9.78573963969102,422.657908294693,778.86038124678,1941,NaN,2.34577102755622,435.497676819824,246.918946824987,1937,0.39533296982986,10.0596092820013,474.658846918489,383.535586481113,2515,0.669184441080859,4.21734542393541,606.054545454545,788.068237934905,4455,0.940061518982426,1.51447945565679,631.20186697783,518.572053675613,3428,0.457066926463583,5.22687322825193,666.147793263647,879.763356562137,3444,0.298787657852563,0.733418153567575,757.014120667522,456.499037227214,3116,0.301433071778872,6.78731138105975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168.554250559284,635.135906040268,1788,0.878471284339924,4.53204839140404,190.106098579783,27.0651629072682,1197,0.15326287911168,2.57971728137831,335.722593210907,169.273789649416,3594,0.991222654012413,7.79669946054773,342.851931330472,724.202789699571,932,0.984748543500437,26.038857000552,413.908791208791,151.709523809524,2730,0.935139059775409,14.962348631468,424.216085790885,780.405361930295,1865,NaN,2.19428403404646,450.139989964877,251.624184646262,1993,0.831471603264607,15.3797463305653,471.161963664476,389.676072671048,2587,0.527598943044831,7.06638260646623,607.234938357758,790.531286345662,4299,0.965784987339769,2.73128813560331,633.642038216561,521.967515923567,3140,0.405597031588029,4.18133944467715,665.423033067275,879.110604332953,3508,0.290196178067398,0.97537829325331,758.961636828644,458.994245524297,3128,0.324004151802784,3.16526201816846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171.766294773928,631.924251321198,1703,0.895269208822769,4.54224108468031,190.390207715134,27.0689910979228,1348,0.163395358072155,0.284134925402418,329.118312189741,168.826254826255,3626,0.593775405930027,6.61942710696922,374.968686868687,705.583838383838,990,0.806205438816002,37.1234607007357,412.012914485166,157.013263525305,2865,0.904482617249615,5.63240654817672,428.701620591039,770.62726406101,2098,NaN,10.7578445975345,444.578651685393,254.926565008026,2492,0.625206336852934,6.46793626380279,507.94009423379,385.28337446713,4457,0.260160583383716,37.039528691442,602.739520958084,784.255489021956,4008,0.996934682889967,7.7197415530263,,,,,,660.985851209493,874.526243724327,4382,0.314817514899051,6.38004271372457,702.095560323486,489.385377124938,6059,0.25843083447963,64.4776824727601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176.156454491374,631.108268887567,1681,0.878518312482464,4.46534765462647,190.428852459016,26.1481967213115,1525,0.219739810329702,0.921604958878204,330.179605668515,166.612446087492,3246,0.949644127171803,2.45505457778646,385.384321223709,697.847992351816,1046,0.928694965598949,12.974157115153,415.059888121092,157.097400460678,3039,0.791581533117577,3.04813506294032,431.614418793034,765.496152288376,2469,NaN,5.90022892681398,446.237748851455,255.830398162328,2612,0.706924002304177,1.88931674878752,505.791940018744,392.370196813496,5335,0.317176352797456,7.40524256865109,602.745893223819,785.701745379877,3896,0.910788827745358,1.44627039608663,640.605812641084,523.097065462754,3544,0.48127608264467,7.05478818938724,663.299533195021,877.204616182573,3856,0.252304944099152,3.53932244296048,767.001428163382,463.299914310197,3501,0.306944043041795,69.9515764676487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170.334474885845,639.818493150685,1752,0.765728905835908,10.4768054883638,190.265447667087,26.4697351828499,1586,0.233117405734825,0.360677291042839,328.93289432424,165.595798055817,3189,0.962598558059431,1.60868343568734,388.595703125,698.5400390625,1024,0.959657850452929,3.28510309818504,418.70482944951,155.716312056738,2961,0.697335242330137,3.89782021995716,435.995582329317,765.406425702811,2490,NaN,4.38208224384462,447.413654618474,258.420883534137,2490,0.540620566545503,2.8448846785879,505.03328456474,394.905815654718,5468,0.407108078618101,2.64668113036925,610.34214945424,792.011754827876,4764,0.984129089920598,9.87518748946285,641.832670454545,522.69375,3520,0.453805268656067,1.29145013722908,665.307541899441,879.860893854749,3580,0.263179098636345,3.32985135234736,768.984462898473,466.471470667024,3733,0.234153879530501,3.74048078261423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164.048325096101,644.867655134541,1821,0.676090013443887,8.0628602814582,188.721518987342,23.9372842347526,1738,0.364592444248135,2.96597767568454,325.742947813822,160.423483779972,2836,0.739390406714812,6.07689013455351,384.909004739336,692.503317535545,1055,0.826153730796076,7.07345402055142,417.602214313958,154.455120601028,2529,0.61509261737272,1.67522058998317,435.691347011597,763.992863514719,2242,NaN,1.44593125291367,444.159173754556,253.716889428919,2469,0.601363361380716,5.72007047469957,504.475840978593,393.324770642202,4905,0.354399351073211,1.67643869059978,609.721228697665,784.454660214601,4753,0.888301517753986,7.58256035781634,648.416715031921,514.623331398723,3446,0.360817266822686,10.4154356316337,662.970105036359,872.326959332077,3713,0.259271440030713,7.8882051495133,779.153394409208,463.792107117688,4257,0.262485535142577,10.5159952976183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195.428089128967,610.854602745892,4443,0.926202827679052,46.2771792955375,187.131992149166,28.666339548577,2038,0.278206769426127,4.98904396958904,324.928404061442,169.201770372299,3841,0.715469122596603,8.81599665503399,387.875,701.105263157895,1064,0.983122805057059,9.09893380436071,419.666908300109,155.677781805002,2759,0.665820408314946,2.3995544745117,436.790589232726,768.567189487071,2359,NaN,4.70455009135243,444.475035161744,256.853023909986,2844,0.512548358008349,3.15200062054088,500.894028595458,395.492010092515,5945,0.37360145990451,4.18644321387152,629.395442359249,811.645889186774,4476,0.987745346695177,33.5624435376628,628.98392062949,519.109818679439,2923,0.608437180849263,19.9439731850795,667.776692001448,887.263843648208,2763,0.319641419442791,15.6912010797922,801.017713811237,461.851923609189,3613,0.546585246692905,21.9502340525241,570.763157894737,750.176592797784,1444,0.957323978400711,0,718.78607943374,489.848997247346,2543,0.411523875074768,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
