1,,,,,4,,,,,5,,,,,6,,,,,7,,,,,8,,,,,9,,,,,10,,,,,11,,,,,12,,,,,13,,,,,16,,,,,282,,,,,310,,,,,329,,,,,339,,,,,366,,,,,370,,,,,411,,,,,425,,,,,500,,,,,525,,,,,600,,,,,668,,,,,724,,,,,738,,,,,793,,,,,916,,,,,1038,,,,,1064,,,,
Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,
15.6445935240874,7.88901812026419,3465.12345679012,0.341031630715977,,18.4370978663849,4.95381668947945,3010.67088607595,0.531876209461353,,11.9440841152515,8.31587531363182,2165.74117647059,0.471776834960237,,17.2161374222491,8.65722834922461,3345.47540983607,0.646211123728552,,11.9500753629813,5.14543428676669,3437.77777777778,0.689793901659907,,8.58532881468719,2.52510537947838,3429.53333333333,0.76168689609916,,23.7022880587493,14.4919044972612,2980.08695652174,0.57101434143296,,15.982756193678,19.3905316172642,3600.13333333333,0.628607859009681,,17.6362385224975,38.7065028074446,2892.16470588235,0.624082939236871,,7.74883828901741,28.334125120388,3162,0.68205315123485,,18.66904412867,7.22585684145521,3544,0.475953760949105,,17.3841180496462,12.408806931237,3356.0612244898,0.629924998947161,,13.6730689963455,3.03956855229203,2667.43076923077,0.423895719953739,,22.0024000123006,10.4706706781853,3019.01886792453,NaN,,16.5674820734018,8.77230681229303,3654.25,0.425733712261237,,18.0821601798619,2.58288182082786,3486.12244897959,0.640900373500335,,25.5576679864006,16.4595500679905,2936.78125,0.363457046282485,,19.3565461056997,57.9342400308615,2041.1186440678,0.55012849797361,,17.3568456882499,5.92531927012782,2607.45652173913,0.149052303590356,,21.2776987041085,12.941861803227,3590.98148148148,0.720783808453741,,10.896289430827,2.86850353624576,3823.60377358491,0.507338796487683,,20.0238481316583,13.824831902725,2952.47619047619,0.652487806430277,,12.4741877774186,4.8674769021711,3338.94444444444,0.702351332902936,,17.6008537289095,9.59627889526822,3154.92857142857,0.540642332667369,,20.2625966402149,4.84806004339488,2787.8064516129,0.524452809149832,,18.4380073744105,4.80754456555841,3624.58536585366,0.595790622258073,,20.26263769196,20.6794935609542,3202.42857142857,0.621197628575467,,13.4620502988537,6.61880343822136,3675.1875,0.686982296265113,,14.5945174945804,50.832648342635,3223.07407407407,0.40286728118337,,9.43608126990941,5.51211817761969,2592.33333333333,0.409801775395537,
x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame
205.462795698925,142.566451612903,2325,0.191571293483864,0,492.528934559221,18.9259058950784,1849,0.227233658568635,0,516.492010652463,358.980026631158,1502,0.508905348962819,0,591.68564993565,130.367760617761,3108,0.669902410153888,0,644.017039167957,96.7758353618057,4519,0.589257805499486,0,707.871543489191,292.008044243338,3978,0.707393099367452,0,703.133544749824,205.990486257928,2838,0.261245872378848,0,745.868959512408,192.003918154114,2297,0.76562422344821,0,847.632,548.555636363636,1375,0.953548246425119,0,859.721418572095,275.199720018665,2143,0.563357925998956,0,911.995450409463,633.753412192903,3297,0.267150197278173,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207.881317689531,143.597924187726,2216,0.160488664615911,2.62929349667459,492.556864754098,19.4375,1952,0.236701111900874,0.512355954368039,513.465947403911,358.991908293999,1483,0.563642832279582,3.02608657479449,590.059531348955,131.545598480051,3158,0.734038500557004,2.00787541641376,644.686618212912,99.6143651132963,4678,0.565799348684269,2.91643399505951,708.605959342801,293.270119743804,3591,0.74504145864845,1.46020588100121,698.973368841545,224.179316466933,2253,0.399213843324486,18.6585264144797,736.598686174978,190.777844132577,3349,0.691830874642072,9.3510012970244,853.792553191489,543.494680851064,1504,0.933555825052223,7.97280918656712,862.682258744206,273.362831858407,2373,0.639756349422248,3.48435541213583,917.991821327461,631.36678200692,3179,0.309239997423201,6.45387231287213,434.665608129565,469.715465227056,3149,0.723462727436755,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202.889229589881,141.86738213875,2609,0.177090620969701,5.28353285008555,492.934277047523,21.2148634984833,1978,0.239577672513958,1.81699230734991,515.466225165563,359.180794701987,1510,0.581632104352682,2.00917624883488,594.450598290598,130.233504273504,2925,0.663498933455207,4.58290956629567,648.876246207195,100.488296488947,4614,0.622889579086711,4.27980592782355,708.848075818495,293.900631820793,3482,0.723289869091276,0.675400523416191,707.603662321539,201.170391061453,3222,0.320640515025135,24.5742266178573,754.1492,200.4588,2500,0.680709478425237,20.0434887689068,862.862219451372,534.462593516209,1604,0.873877830316531,12.7999003000055,866.987421383648,271.107756813417,2385,0.915206880374576,4.86001942491838,937.620829576195,631.830477908025,4436,0.110034984012048,19.6344844270875,443.394001363327,462.73960463531,2934,0.414108159656518,11.1735168787025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196.60453808752,145.936385737439,2468,0.320234645393128,7.48693111802088,496.938505203406,23.8443708609272,2114,0.213540201410937,4.79042295559726,507.677320221266,353.848801475108,1627,0.47055374435441,9.43913089234263,598.010452961673,134.277795375356,3157,0.644557529024653,5.38784333436759,653.273720282716,102.933390447633,4669,0.663055716715372,5.03152687677203,709.352476864453,291.898747958628,3674,0.510412812323587,2.06445135877738,710.184145334434,209.78612716763,3633,0.353542078904703,8.99387576249143,760.452038834952,210.615922330097,2575,0.574422804095421,11.953782305527,870.599393939394,531.797575757576,1650,0.896845383894071,8.18328715810088,870.150491159136,271.22278978389,2545,0.985497818072048,3.16516081564587,895.04793831713,646.906469996648,2983,0.266496657002083,45.1634432656803,452.858493443123,454.367185117414,3279,0.28657323001122,12.6362185368954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191.141472014103,140.817981489643,2269,0.737115675413478,7.48619749715298,496.956265769554,26.4693019343987,2378,0.209955918410057,2.62499115773485,491.584432717678,351.730870712401,1516,0.286627258751244,16.2316560744355,595.535536159601,138.581359102244,3208,0.690806330726758,4.96446109145419,653.975945723684,103.579358552632,4864,0.875082061845434,0.954146405232592,708.372881355932,297.086469405343,3481,0.663854856140439,5.27939969778967,708.902893153824,212.397307361787,3491,0.30776244809639,2.90858542193248,756.678495386799,210.764017033357,2818,0.548217877556,3.77644835741567,887.731384829506,519.349338900487,1437,0.807251351330083,21.1769618384946,865.848189415042,275.091573816156,2872,0.912180973720345,5.78595628963337,892.570699010533,641.203000319183,3133,0.630683692648478,6.21822168661667,449.740124153499,477,3544,0.664411775910005,22.8466307480093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183.654870485224,128.461510397665,2741,0.998240712462847,14.4475458227028,506.40784634246,24.965263588067,2447,0.170402684345683,9.57050190289771,488.117491749175,347.446864686469,1515,0.360105135292849,5.51111488805223,597.532774618378,136.358874588447,3341,0.669725323851133,2.98804264950957,655.895936794582,99.6386004514673,4430,0.936960449296223,4.38359899217769,703.178997613365,285.08138424821,4190,0.601746037677571,13.0804624521201,710.974554707379,204.246819338422,3537,0.405198731360287,8.40965139654999,763.633502538071,205.572250423012,2955,0.471857864764172,8.67908779829648,885.92141453831,518.434184675835,1527,0.652485752170418,2.02817644940208,867.174578866769,272.200612557427,3265,0.962537744168904,3.18071783991021,907.801632363378,654.799858055358,2818,0.325193033582464,20.4170485402912,463.729318541997,466.267194928685,3155,0.567996356983678,17.6320918877493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178.280714546117,122.139628144367,2743,0.905123452269467,8.29745426515855,521.752270250636,28.2589901925173,2753,0.12267654447874,15.6939472414893,476.862230005838,346.748978400467,1713,0.363930705728667,11.2768773239412,600.654320987654,137.632640770852,3321,0.587809529731906,3.37142878064828,661.359089885109,101.141473304798,4439,0.729632970924336,5.66609817280042,709.568868237637,296.433455028211,3013,0.984672954226568,13.0268936277643,719.175444839858,185.338790035587,2810,0.585240392824576,20.6099046839586,771.218323586745,202.897011046134,3078,0.429936594805139,8.04278658575498,891.128617363344,518.702250803859,1555,0.719564887438228,5.21409826432449,867.054611650485,273.515776699029,3296,0.966783249251437,1.32062441759124,924.617718446602,651.673240291262,3296,0.615370604204319,17.1042827911945,461.808444096951,466.425592911128,3837,0.652367412669287,1.92739423950405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169.521323529412,119.722058823529,2720,0.698368862525668,9.08689013934914,518.681497960697,31.0808305524657,2697,0.157269677453136,4.17042269724413,472.861146496815,347.508917197452,1570,0.512087192156613,4.07261294764606,604.552996752288,139.813404192501,3387,0.549076947940049,4.46714694396148,637.566905390124,93.0418394270637,2653,0.800584923914176,25.1330879916644,707.707238949391,297.297885970532,3122,0.915211323010524,2.05253610465069,693.508910070452,120.326978864484,2413,0.95997047915126,69.8949683369003,759.912988007145,203.457004337841,3919,0.952825817030376,11.3191963077829,896.369111508646,517.741204531902,1677,0.561144332458323,5.32788783888977,867.049417689644,273.764242996538,3177,0.956826852082389,0.248520579081106,916.973525179856,652.541007194245,3475,0.425448832231993,7.69328993976408,459.889527845036,481.278753026634,3304,0.942051042359592,14.9766019176152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
