1,,,,,2,,,,,6,,,,,7,,,,,9,,,,,10,,,,,11,,,,,12,,,,,13,,,,,14,,,,,15,,,,,18,,,,,19,,,,,20,,,,,21,,,,,61,,,,,77,,,,,92,,,,,98,,,,,211,,,,,228,,,,,316,,,,,335,,,,,409,,,,,437,,,,,486,,,,,522,,,,,537,,,,,652,,,,,790,,,,,895,,,,,1006,,,,,1016,,,,,1054,,,,,1059,,,,,1075,,,,,1133,,,,,1612,,,,,1658,,,,
Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,
4.94350151639222,12.690352204418,2141.22352941176,0.703198949592697,,6.65425693857902,2.46156948566032,1542.3488372093,0.413460376374708,,9.84704914818435,16.5985023604084,3565.01176470588,0.588998192204951,,8.38536888182485,35.3534336148619,3675.98795180723,0.707722104106836,,23.5551224091776,13.1606110996531,3348.125,0.609057965035023,,21.1292217464195,12.032571787781,3047.46875,0.597718659086697,,19.4544293961159,25.9805466018133,3473.97297297297,NaN,,17.2407770368897,5.82453101038035,2585.74,0.477363340755122,,21.2574041130757,6.24715138036266,2912.38095238095,0.511351213112003,,7.4026863457453,26.1790507879999,3027.12162162162,0.161496964908927,,14.4454148997274,4.7822259128089,3781.12903225806,0.589565375324209,,5.42099096926685,1.55062957094949,3125.95238095238,0.14095771140371,,14.7244621278446,5.5724245461531,3376,0.548163261883213,,5.72919134851829,2.82716695935401,3174.4,0.42926296774059,,15.4613177454039,9.57991209188084,3669.95945945946,0.582939881923515,,17.6339167368717,15.8442618776366,3523.28378378378,0.600476385497935,,24.0679483227549,15.5485403828611,3059.46268656716,NaN,,15.4412804928563,3.37888960763581,3454.72,0.567254016330478,,23.2035170736292,3.78042333542951,2266.75806451613,NaN,,8.37264716903346,15.9170887621267,3566.64473684211,0.649613003391362,,9.56932567128836,9.99125844578742,2838.32727272727,0.47056841041633,,10.5514838954147,4.93065260909937,3218.52173913043,0.508454325765854,,22.3525289543749,72.8675212072918,3052.54838709677,0.574991630521879,,16.9195789305137,9.81905163298523,3579.37288135593,0.670998431539366,,19.6838403675261,9.08086242555428,3222.83333333333,0.7059083351288,,19.1777085325051,4.67568195332904,2546.63636363636,NaN,,14.149409686913,3.84278342526236,2242.04761904762,0.518502339480529,,34.0963177027594,13.1723822805118,2422.18181818182,0.473280637541506,,10.7612998115359,6.4836159571972,2850.05882352941,0.478145572573225,,25.1325701140634,16.4639997192533,2454.06060606061,0.50319079459947,,18.3659997426839,4.38522946344107,3356.08888888889,NaN,,14.4418723511163,2.59244846257289,3076.53125,0.701693037915549,,4.76754053292124,3.73056823934389,1228.68181818182,0.452803668562365,,23.0793899513252,2.93415729869242,2625.92,0.494637674795653,,20.6919985385936,4.46985153903043,3160.40540540541,NaN,,14.6349251638214,4.07886637815175,3754.675,NaN,,8.85356711560034,45.9099071850615,3802.19444444444,0.50888235092589,,13.3121918157842,2.10554882520512,2801.25,0.602217935932099,,10.2378064530923,8.84616022103659,3407.54545454545,0.317751482430572,
x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame
42.7241379310345,522.179310344828,1595,0.758675463382319,0,289.668062200957,212.628588516746,1672,0.241215505794906,0,368.613741339492,774.873556581986,1732,0.891705851919958,0,657.180717774474,345.071777447441,4709,0.699115994078949,0,753.281150159744,865.668295433189,5321,0.42012352802229,0,743.437609075044,804.948516579407,2292,0.242558313927166,0,811.21186440678,791.926040061633,3894,NaN,0,840.408192911098,916.035153980244,3442,0.537832115446453,0,862.680703959774,700.344437460717,1591,0.117354448217669,0,980.085404270214,290.371368568428,2857,0.0777164349863326,0,918.252247988642,567.700899195457,6339,0.322288689181921,0,935.985480383071,812.535063330244,3237,0.151664021899037,0,987.307780539094,640.699675014338,5231,0.725908262114682,0,988.394336094042,34.9524445631846,3743,0.742724626002231,0,994.352506920947,572.56813288219,3251,0.524983440089122,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41.0342857142857,521.596571428571,1750,0.833193437268614,1.78750808640693,274.067535545024,221.468009478673,844,0.276452859154586,17.9307499810975,376.90035335689,773.151943462898,1415,0.853125655290372,8.46356251579153,661.099935663736,348.177568089213,4663,0.73933124967112,5.00062039891296,751.069783430732,860.872636644895,5818,0.687762462849548,5.28095502953057,,,,,,793.813033019899,804.302427290619,4573,NaN,21.3516813031407,849.594124047878,918.108541893362,3676,0.501457991949934,9.41702013844762,868.974390243902,703.203048780488,1640,0.0899438500918654,6.91246307191255,986.826182618262,290.155115511551,2727,0.159150148505237,6.74424629755801,922.627896271291,574.880006137793,6517,0.319682440891047,8.40748918423058,939.129435718441,814.39674229203,3438,0.160507678951879,3.65380674195564,989.446682464455,642.134083728278,5064,0.84898650693681,2.57535042371746,988.325368581596,36.2727503812913,3934,0.797685936690506,1.32210588498023,998.523697916667,571.658072916667,3840,0.642920811606601,4.26931416782822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44.8996960486322,526.373860182371,1645,0.907562187305042,6.14523269616784,277.206310679612,224.734223300971,824,0.280617201783809,4.52990751323659,379.488066825776,779.232696897375,1676,0.97984611083003,6.6084660344104,664.041164430293,351.998408005458,4397,0.71770934831829,4.82178849834783,740.547679755227,852.469148393677,3922,0.461610159967413,13.4660046244774,797.18530259366,860.857925072046,3470,0.634231514965476,77.554345568562,793.309090909091,794.216024653313,3245,NaN,10.0989839000218,878.491914022518,922.559467758444,4885,0.0961228574642133,29.2385534265094,873.707780979827,707.076657060519,1735,0.0698469879034506,6.11635749168257,988.359714928732,294.817329332333,2666,0.149906326519992,4.90794855901593,926.378912685338,611.234408096023,4249,0.768082744913071,36.5474029977363,939.301482701812,816.423393739703,3642,0.118884882827045,2.03394106474181,997.408603922861,626.632272952036,6067,0.339609852861702,17.4269426650879,978.092762487258,33.7308868501529,3924,0.362015362457713,10.5435903606325,967.181818181818,587.363636363636,11,0.0756756756756757,35.0567846286636,950.520360887588,546.271153377225,4101,0.167330175351936,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48.0041641879833,527.540154669839,1681,0.863186855171911,3.31631802753382,277.739386792453,226.079009433962,848,0.287050215709605,1.44658905206964,377.924645892351,788.216997167139,1765,0.90937609872485,9.11931666038382,668.46775142129,356.757106449716,5101,0.872966028347353,6.49922174358117,747.293425750893,864.979626128964,4761,0.588731053294442,14.2132734513613,831.688481675393,913.344502617801,3820,0.854695068227168,62.8117042374482,810.310543278085,819.899861878453,4344,NaN,30.8011181170857,909.830638297872,925.791489361702,2350,0.0764608296032408,31.5049456887425,876.651993785603,711.397721387882,1931,0.0782953870674008,5.22876524304799,989.639421196715,298.379350801721,2557,0.163022932228564,3.78492339165446,924.586564583848,613.888367498148,4049,0.806177623915377,3.20250093287142,939.90650887574,813.217159763314,3380,0.138749784236239,3.26281979007329,997.785623525141,638.776728988927,5509,0.402335853384314,12.150306836146,971.331254871395,32.9418030657314,3849,0.338866877987506,6.80739586466129,,,,,,959.319875776398,559.095108695652,5152,0.28308628799767,15.5526619035902,752.467136150235,793.980751173709,2130,NaN,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44.4722371967655,532.360107816712,1855,0.992058456487044,5.97548798085448,278.176328502415,226.708937198068,828,0.269130505675533,0.766633579942784,377.677567941041,789.491017964072,2171,0.99979135454958,1.29775826140365,667.310260586319,355.609731270358,4912,0.952265172399485,1.62980208468595,737.589664987957,855.817823516532,4567,0.614625207233202,13.34547114393,803.312600536193,867.998927613941,3730,0.69964846033282,53.4921658082442,794.300289735099,799.060223509934,4832,NaN,26.27962605977,882.942783141041,925.462208617848,4247,0.0991551642393388,26.8898713411394,879.41689373297,687.855585831063,1835,0.0811089565891081,23.703940986566,989.248012116622,296.335857629686,2641,0.200585320682989,2.08064062541627,923.828205958549,580.494009067358,6176,0.302206960044422,33.4029681736316,939.451532033426,812.352646239554,3590,0.0873811665481973,0.976927612366526,993.477939578353,656.336448598131,4601,0.823434742083947,18.0803731637172,969.345625136374,32.4745799694523,4583,0.34110829631325,2.03985854075679,,,,,,991.296934437234,585.631237413292,4469,0.79230148661523,41.5535607128646,,,,,,335.26688867745,70.2942435775452,4204,0.828172741447108,0,672.746119733925,673.815964523282,902,NaN,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49.6239957150509,531.648634172469,1867,0.793527928557914,5.20065482196016,279.622641509434,227.463443396226,848,0.263483118734897,1.63128811597794,375.900768949103,793.900768949103,2731,0.69136076061938,4.75425266553379,670.26150503654,353.850286391468,5063,0.830941413306383,3.43591182756646,738.831719876416,855.77157569516,4855,0.5790502553699,1.24291560732272,805.512626920073,868.417339234574,3841,0.790629001431223,2.23946073286595,802.94252044252,799.584896584897,4158,NaN,8.65814260889033,886.738494217607,926.409723861223,4237,0.110290655476687,3.91218707543408,899.388977002379,649.048374306106,2522,0.545002349867124,43.6449742406032,994.220097821254,295.7563361494,2249,0.263376578521819,5.00574483971302,934.004661487236,573.310099889012,4505,0.429881118907599,12.4566768525984,943.354062775007,805.627163391024,3409,0.128201452704319,7.77572284323886,992.599614808474,651.432912475925,4673,0.944957284922367,4.98157815387394,970.135367231638,29.2953672316384,4425,0.262564425322058,3.27583366630717,,,,,,997.142498115104,582.082181452626,3979,0.704579644346329,6.83859729213289,,,,,,350.628257887517,68.0893918609968,4374,0.957991850719326,15.5187961872036,683.219977553311,692.309764309764,1782,NaN,21.2537603299563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.7706378986867,532.854127579737,2132,0.717029463722472,1.66373154452875,279.319477434679,225.604513064133,842,0.269765237369102,1.8834888998342,373.622161046112,803.742601514109,2906,0.991791970312559,10.1021642341225,672.539812412692,351.788864498104,5011,0.778916439923876,3.07248185066548,732.638500635324,858.938161795849,4722,0.61430390620481,6.95580563998972,802.397879575915,849.48349669934,4999,0.643055417799505,19.1883309374993,,,,,,860.729508196721,920.087213114754,3050,0.655586467566916,26.7664247887876,920.150730581902,630.614201486798,3901,0.686890980221945,27.7645302360574,997.452547919589,292.821879382889,2139,0.346101785413834,4.36574966675174,938.021496130697,568.544855259387,3489,0.807112918422995,6.23237650764756,941.324837156613,802.48966298499,3531,0.0895502791713204,3.73653119995134,998.597974564296,658.705134243994,4246,0.530870062517204,9.42685150006271,966.005728689276,27.3123281393217,4364,0.221396304714794,4.58108704700337,,,,,,996.72723132969,581.471766848816,4392,0.554554568729431,0.738276703961929,,,,,,351.135745296671,58.4526772793054,3455,0.98168297157805,9.65006794791802,684.834618350039,688.409791827294,2594,NaN,4.22100109766457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.0183290707587,531.812020460358,2346,0.476630898720463,1.28528433462764,280.874556213018,226.773964497041,845,0.290905735648649,1.9457355063754,376.420599584446,803.552983081033,3369,0.91292351852545,2.80485532657219,672.475984990619,356.580675422139,5330,0.960624617984678,4.79223599914555,733.672059984215,858.32320441989,5068,0.585496198597074,1.20267098656551,803.763192097739,861.800103977125,3847,0.896131417165926,12.3920495930833,799.856938892062,803.223300970874,3502,NaN,4.77061840649926,864.872424242424,923.358787878788,3300,0.738498111312529,5.27891606283005,920.624025676295,615.354424575883,4362,0.50467890938942,15.2671149736056,991.986581096849,299.238623103851,1714,0.13625222545137,8.42919885207261,,,,,,942.492283464567,800.662677165354,3175,0.0784119780015934,2.16813469763894,987.822916666667,634.790277777778,4320,0.79119728743049,26.2301778967853,960.079718123761,27.8850473463995,4541,0.216129784128212,5.95362146199661,,,,,,982.018166972852,569.945090834864,4899,0.40203789197752,18.6874512490129,,,,,,354.14911706998,57.5981033355134,3058,0.564058401615345,3.13220466597938,674.49115235218,666.800604229607,2317,NaN,23.9571341666917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
