1,,,,,6,,,,,7,,,,,8,,,,,13,,,,,89,,,,,92,,,,,239,,,,,253,,,,
Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,
5.59873362760703,63.2098077406505,3826.71084337349,0.236869153318573,,6.49052271333471,3.41744043121396,2831.21052631579,0.659363181867698,,11.0670640170244,4.01787701525303,3704.36470588235,0.233459423326982,,2.13159905222592,10.6329737108663,770.205882352941,0.537034885630693,,9.21266058666427,15.4976789153847,2784,0.398595416016548,,2.98841782289103,2.4955381548889,3316.5,0.286405182456574,,9.58692389297274,6.41851503694988,2164.25373134328,0.617567979407807,,5.39758261176568,6.91907996515705,1598.17021276596,0.508507052584483,,11.9033292804497,10.3049748564131,3512.17948717949,0.290199978003437,
x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame
39.8344491783323,332.895922093731,3286,0.672709794117863,15.8719310916896,275.961866818441,846.89015367103,1757,0.848142848902831,2.54647413375602,491.453772290809,304.414540466392,3645,0.109557555207636,0.900715712695485,745.092783505155,1009.17640320733,873,0.645838128685442,1.49768699163813,165.944861049846,908.011910013233,2267,0.125566969653769,13.8748881243828,477.593067068576,435.293896006029,2654,0.0856129734623991,5.38405249651317,21.5540740740741,69.4362962962963,1350,0.431216615758016,3.95958294238875,,,,,,,,,,
45.1258413813286,337.117354404448,3417,0.537973268675162,6.76899713398513,271.635689851767,842.765108323831,1754,0.810385900693,5.977608741246,484.67943310275,357.152184916484,5927,0.0333446303074962,53.1709583661903,747.315418502203,1006.47224669604,1135,0.584607921816109,3.50036694757655,173.75,888.217465753425,1752,0.330739098670527,21.2776929573177,,,,,,17.0083945435467,72.2350472193074,953,0.619240073269016,5.33818406607635,,,,,,,,,,
45.7896618091834,339.38025845477,3637,0.498978317696839,2.3582604396888,264.638731596829,837.276896942242,1766,0.584712900111865,8.89257493588619,483.130566801619,355.690620782726,5928,0.0293541760952912,2.12959069679259,745.901246404602,1007.57334611697,1043,0.59109507095937,1.79228978025745,169.527088607595,895.529620253165,1975,0.183998578802834,8.443967317332,,,,,,15.4957160342717,73.2044063647491,817,0.679218915629225,1.79662278324462,,,,,,,,,,
43.3080304806565,338.338218053927,3412,0.440628042844314,2.69153158029314,263.659627329193,836.829813664596,1610,0.54381291079249,1.07634967554912,487.730229373502,278.350907223554,2921,0.142637369666923,77.4763718122501,745.733918128655,1008.38986354776,1026,0.672564857177333,0.833486332648698,172.713559322034,886.192655367232,1770,0.308018266590945,9.86572394176535,476.685477802859,438.317908201655,2658,0.0894695261891358,3.15727224587029,15.537037037037,72.0246913580247,810,0.660549756099975,1.18043844496875,,,,,,,,,,
43.9149535342157,336.973246972684,3551,0.460924313876347,1.49382115581918,271.917711991972,842.687907676869,1993,0.796440028665106,10.1248816168021,486.580254579323,272.053399565352,3221,0.121642626998942,6.40164390858706,745.225423728814,1005.17033898305,1180,0.441047937787135,3.25943322947786,172.646475770925,888.150881057269,1816,0.278077681688942,1.95937440422976,474.41912985719,446.817336433079,3011,0.129062185730079,8.79639774407423,17.3585699263933,73.211356466877,951,0.553786059349754,2.17397243486983,,,,,,,,,,
75.3405823811279,341.128639882049,5426,0.0854719736131874,31.6991709458636,276.563020833333,840.831770833333,1920,0.657263691739712,5.00241323898392,486.127321850726,270.675109760216,2961,0.12807593368157,1.4508035165304,744.178082191781,1004.59589041096,1168,0.406287646085945,1.19453566592739,169.744604316547,897.629496402878,1946,0.176596755806344,9.91287076520976,473.731984380547,448.869009584665,2817,0.120395654166202,2.16368473373776,13.5270072992701,74.4671532846715,685,0.75051234671107,4.0321083583096,,,,,,,,,,
81.8836552048987,336.756947715497,4246,0.0769920612263821,7.86914826244013,284.146870379497,841.256283883687,2029,0.925972332835457,7.59572151074349,485.768739495798,269.24268907563,2975,0.127290281586518,1.4766212523511,744.542105263158,1005.83596491228,1140,0.478507569170457,1.29239992468405,172.178988326848,896.197470817121,2056,0.214363083258405,2.82434466520548,472.153005464481,450.337340619308,2745,0.144224383040211,2.1561935081706,11.45703125,74.828125,512,0.811610316608386,2.10121427365676,,,,,,,,,,
101.495435945861,341.02706956248,3177,0.100919143698523,20.0712701247245,284.834564254062,846.429837518464,2031,0.655723211938433,5.21905930959122,487.553793103448,271.184137931034,2900,0.13010131466045,2.63735474298289,746.129482071713,1007.96215139442,1004,0.592319632724799,2.65338163278127,174.126606377915,901.270347453594,2101,0.299292953112639,5.43390222967947,470.567274001402,454.261387526279,2854,0.184483625031708,4.23233840815085,,,,,,,,,,,,,,,
107.413382218148,341.68438741216,3273,0.0837389498055876,5.95433916040986,284.733333333333,844.462937062937,2145,0.812051819202878,1.96950377030944,485.640833604689,265.608270921524,3071,0.118557485117326,5.89488820518603,745.778202676864,1008.31835564054,1046,0.645928667089428,0.500278600576117,177.968824940048,894.614868105516,2085,0.351606676318682,7.68492347599436,468.331989247312,455.755712365591,2976,0.255367421578749,2.68877382039701,,,,,,,,,,,,,,,
111.041087026852,343.837916531867,3091,0.0826489035977887,4.21875927833244,282.848456057007,845.142517814727,2105,0.931901926994649,2.00364476517524,484.613147914033,263.119152970923,3164,0.12713492123715,2.69292518477282,745.909186906019,1008.40126715945,947,0.599721797282205,0.155019960831346,180.678886310905,892.564269141531,2155,0.418309465145706,3.39843916304298,467.991293131248,455.460174137375,3101,0.308466671228023,0.451017391946557,,,,,,,,,,,,,,,
110.193388429752,342.642975206612,3025,0.0838341570680717,1.46508623716419,285.615062761506,844.212343096234,1912,0.764257232287196,2.91879044542466,483.297830374753,259.567061143984,3042,0.127273131486225,3.7877983811365,746.891612903226,1010.09935483871,775,0.581998371019012,1.96180085799714,165.741660752307,921.265081618169,2818,0.292601228247155,32.3551749216034,468.422982885086,454.225986727209,2863,0.265709556803642,1.30750701985885,,,,,,,,,,,,,,,
111.37408880053,343.25381047051,3018,0.087252856927749,1.32935062537227,289.494601542416,845.39794344473,1945,0.648733610046195,4.05665740960942,481.243779527559,253.76,3175,0.132359922125451,6.15963343169312,745.784,1009.592,750,0.476248298233197,1.21828374189039,161.570823244552,929.792372881356,3304,0.29406354746861,9.49265936412544,466.896316507503,455.99863574352,2932,0.327804880413407,2.33944325929627,,,,,,,,,,,,,,,
110.245296414625,344.044373446929,2817,0.0885780577252592,1.37810089259131,288.487856388596,845.165786694826,1894,0.621741043799941,1.03316627958328,477.501253918495,248.137931034483,3190,0.139014550399211,6.75382538917983,745.569400630915,1011.18611987382,634,0.538780605554975,1.60849963049736,159.281873111782,934.102719033233,3310,0.315754501037446,4.88040742759284,466.368563685637,457.814024390244,2952,0.310872229749889,1.89054462513924,,,,,,,,,,,,,,,
111.282135794331,342.299274884641,3034,0.0879364949612026,2.02987804840825,286.780499519693,843.540826128722,2082,0.926056134495619,2.35702446300012,476.064408829755,240.160266102207,3307,0.12782710220825,8.10602625092545,745.76,1011.06086956522,575,0.442043060884453,0.228069636953139,163.455561926605,928.245412844037,3488,0.274220035679986,7.1921981422213,467.366307541626,457.772445315051,3063,0.27781710016469,0.998609844562823,28.9504849412966,164.411434405309,1959,0.783172020900933,91.2753539903124,,,,,,,,,,
106.219602559784,342.172448635904,2969,0.100442053272256,5.06412160678001,289.447046301224,842.293241085684,1879,0.793284025149859,2.94396674195024,476.074542429285,239.483194675541,3005,0.126479225905217,0.677147256250696,,,,,,163.82045990566,929.356132075472,3392,0.259740684045766,1.1691226395028,467.732583454282,458.631712626996,2756,0.262917288190913,0.934076205439882,30.0863039399625,175.094434021263,1599,0.949033371895982,10.7432102088814,,,,,,,,,,
102.950520012606,341.010715411283,3173,0.116375670964103,3.46936950834788,292.626809901915,848.225595516114,2141,0.693454455297558,6.7308042346009,473.739477726574,232.469431643625,3255,0.107754771476419,7.39225263594988,,,,,,163.429426860565,930.24123182207,3507,0.266642938801842,0.967630303259258,462.943864229765,461.743472584856,3064,0.408908085048225,5.71094404162742,41.6988443235894,167.49898028552,2942,0.762478169813999,13.8759508363637,,,,,,,,,,
101.888401253919,340.389655172414,3190,0.122572898479489,1.23037070749453,293.428571428571,851.186848072562,2205,0.576586293559501,3.06787194137876,472.422024188415,229.156269891789,3142,0.108433405904362,3.56549079637591,,,,,,165.533082302313,928.62426035503,3718,0.265844307940431,2.65329284905028,462.710256410256,463.016346153846,3120,0.426628805098027,1.29413281233736,58.9448613376835,154.179445350734,3065,0.861815895425387,21.7907116388935,,,,,,,,,,
99.5570934256055,340.804498269896,2890,0.123457435345945,2.36792968347503,296.9375,854.580910852713,2064,0.404879397638306,4.88182771869229,471.122187608169,224.921426098996,2889,0.107536265952629,4.42983939716767,,,,,,166.434589800443,927.05266075388,3608,0.26122768640146,1.81180602590847,461.240740740741,463.808525506639,2862,0.523937347929054,1.66943835763496,85.3519896473633,112.952766095115,3091,0.776988229365374,48.9589165322273,,,,,,,,,,
94.6887146266621,339.126491646778,2933,0.1402305653605,5.14944835465219,297.369201339072,850.423242467719,2091,0.474886235159323,4.1800206274298,469.567446662078,220.704748795595,2906,0.104823740468247,4.49417254791873,,,,,,174.120759493671,915.378987341772,3950,0.329023796192034,13.9768328131107,460.237436762226,464.810118043845,2965,0.580532143183614,1.41767643836337,106.339861751152,91.1419930875576,3472,0.506665160503377,30.2688056360369,,,,,,,,,,
97.5467532467532,339.836688311688,3080,0.126474184505523,2.94495569691329,299.884071200365,852.782747603834,2191,0.271586104979209,3.44845398788981,469.077139287945,214.108369768894,3202,0.0966003320416384,6.61457614553108,,,,,,185.012508376145,901.576055394237,4477,0.645446909613761,17.5826938796975,460.410200927357,464.80370942813,3235,0.519095378712989,0.172882986753523,116.0901937046,82.5111985472155,3304,0.567972938867389,13.0215048131941,403.310397553517,16.0474006116208,654,0.552506804707368,0,,,,,
93.8514886164623,339.142206654991,2855,0.141339492050756,3.75995817255559,299.050958627649,844.955600403633,1982,0.386157027456238,7.87136010181432,467.189099368561,214.889332003988,3009,0.13916161550106,2.04318299469975,,,,,,200.456046624575,880.876881981544,4118,0.399316851811436,25.8255426583732,458.196245733788,465.860750853242,2930,0.636164822596308,2.45335162044367,138.176083188908,89.882842287695,2885,0.416206314896154,23.2836347194677,402.274725274725,18.9615384615385,910,0.626791681241524,3.09270374872538,,,,,
93.800593276203,339.214238628873,3034,0.13021632722668,0.0881983045266621,291.583128583129,845.298525798526,2442,0.981479983409196,7.47569952581711,468.905077995353,216.117490872884,3013,0.10671762756512,2.11020303640594,,,,,,203.048673587082,875.277970011534,4335,0.429034982022073,6.17005103825266,458.135477582846,465.825536062378,3078,0.605665270899925,0.0702342485156702,150.01804720037,119.009254974549,2161,0.522412224230918,31.4416925061881,404.591804570528,22.3246650906225,1269,0.71973447053897,4.08405156508731,228,812,3,0,0
95.71319880913,337.153820707906,3023,0.136857541020385,2.81129541913041,278.969190140845,842.075117370892,3408,0.541797851334257,13.0192858835291,467.331745491664,209.038108200068,2939,0.0936711778329834,7.25210550084148,736.485875706215,1011.41242937853,531,0.436437835715656,9.28078529645615,203.698708010336,872.46976744186,3870,0.44587131437922,2.88245493004434,452.101325757576,468.787563131313,3168,0.914975583907936,6.72194857221594,148.343495934959,119.779268292683,2460,0.924780427644524,1.84310673879539,413.4555353902,30.189352692075,1653,0.869913496659756,11.8498538012938,210.95145631068,811.26213592233,103,0.0668040154715505,17.0645036647358
100.771710526316,338.825,3040,0.113106052519221,5.32741785663838,280.530540454109,840.01950751519,3127,0.513166420098312,2.58134590467621,465.884989031652,201.553431526167,3191,0.0775982158037258,7.62322039347025,735.834319526627,1012.07297830375,507,0.453208057012011,0.927820207671206,204.858675248056,873.308125502816,3729,0.3913419629412,1.43121215441746,449.12954333644,466.625660142901,3219,0.961271592939331,3.67495786232647,133.289396602226,104.624194493263,3414,0.521674391245483,21.3612305026106,426.489577765901,54.6584714056654,1871,0.519374472311302,27.7240695294062,212.310344827586,811.179310344828,145,0.0865757899365538,1.36141032670876
100.264058679707,338.355571079287,2863,0.121442375683404,0.691428889306071,279.001676164935,839.13744552464,2983,0.433633984949465,1.76506639248729,464.286378737542,204.663455149502,3010,0.129239075022759,3.4968273920987,735.472468916519,1011.25577264654,563,0.444815997312654,0.893734272708454,203.726551431,874.658260130349,3529,0.520323879740645,1.76197839078905,444.632639791938,468.335825747724,3076,0.723358879368061,4.81111295694418,114.904627892433,80.0247029393371,3198,0.190400178667048,30.710498290068,428.092777777778,57.9888888888889,1800,0.495271361132776,3.69620493082344,213.923076923077,809.641025641026,39,0.207499205592628,2.22872713488598
99.5078277886497,337.8228962818,3066,0.119185988659937,0.925001405656552,277.454014149492,836.900953552753,3251,0.386445714874944,2.71977095623063,450.812787136294,149.634762633997,5224,0.0865344879660156,56.6541672836445,735.337126600284,1007.19772403983,703,0.232989129186849,4.06030491921011,204.43239271017,873.466196355085,3402,0.501074803171438,1.38536203054501,442.78844361603,468.316247281765,3219,0.647140812352568,1.84430009802152,109.282481139983,65.2352612461581,3579,0.326092767070388,15.8220137688607,,,,,,210.815217391304,809.369565217391,92,0.126449163088334,3.11969255389526
107.097176625082,340.513131976362,3046,0.102490932027421,8.05205463551713,279.459190231362,837.511889460154,3112,0.363369491027464,2.09618076564397,465.967919972404,208.30010348396,2899,0.116277316710815,60.5912557084146,735.061497326203,1006.73663101604,748,0.254939229937793,0.537194818771694,205.798316889147,874.083865351132,3446,0.448747616846984,1.49908767301626,443.309114927345,470.432628797886,3028,0.625159432123868,2.1794883198147,102.463777704267,64.919285478002,3023,0.305047457611052,6.82602059990346,427.419461502126,62.9740198393954,2117,0.322167518568126,5.0303961474973,215.229508196721,812.27868852459,61,0.256806295517865,5.28667775935668
