1,,,,,2,,,,,3,,,,,4,,,,,72,,,,,132,,,,,249,,,,
Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,
8.04022957076715,3.56242432807771,2384.17073170732,0.414533076776937,,5.58111301659102,6.67738794100622,4121.23529411765,0.620194293808071,,8.32601575837542,6.99991750605093,3692.76666666667,0.273121965060606,,9.77658360227036,9.61657017115349,3268.29113924051,0.261440410911533,,13.7225632713484,1.64267089481729,3169.13636363636,0.532438443165873,,13.3298869923355,5.44007869641065,3039,0.585695318888746,,4.79001259899629,5.30406166684167,1396.27272727273,0.513543886479069,
x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame
511.292560474669,26.3359196713829,2191,0.64849864057346,0,809.80472360089,926.597809344515,5843,0.281972922340581,0,951.851199216838,630.778756730299,2043,0.444625265366267,0,963.972972972973,509.830683624801,1258,0.312247082951796,0,,,,,,,,,,,,,,,
513.304445274561,31.6977960403437,2677,0.811176461410633,5.72690131258224,814.277394229067,932.148521862277,5649,0.265734519739547,7.12847753752484,955.707986281235,634.128858402744,2041,0.45209411728537,5.10861895974024,972.882025598219,473.08959376739,1797,0.101637361218986,37.8058051440486,,,,,,,,,,,,,,,
517.170076213397,33.8010429201765,2493,0.880454204212417,4.40076697779097,815.758879171872,934.744422630734,5603,0.247392986431809,2.98889585556838,956.636274509804,635.795098039216,2040,0.440068243951751,1.90737347193735,977.645409950946,469.25087596356,1427,0.118803102328233,6.11764536968641,,,,,,,,,,,,,,,
517.803792851933,34.7494529540481,2742,0.559747298954103,1.14064822373294,813.333333333333,932.134383508362,5142,0.228931182813912,3.56308529720529,958.418997361478,635.782585751979,1895,0.5287785182407,1.78276676074331,977.991516436903,490.397667020148,943,0.768555782017374,21.14962320446,,,,,,,,,,,,,,,
518.073520050923,32.5817950350095,3142,0.653488862912375,2.18437487987885,815.412937194434,933.681647235803,5318,0.267981507920081,2.59206042779826,957.972037914692,634.522274881517,2110,0.586250258827857,1.3372195920178,979.464634146341,492.332926829268,820,0.767074419938607,2.43214027446085,,,,,,,,,,,,,,,
515.488595041322,32.8188429752066,3025,0.676166374460652,2.59577137498865,817.595225077456,935.262620739931,5487,0.25057096849735,2.6947834096895,960.51179245283,634.38679245283,2544,0.620430154331254,2.54336560534986,981.582589285714,491.839285714286,896,0.952810843649062,2.17472194148977,,,,,,,,,,,,,,,
515.965690903368,33.7233238904627,3177,0.543327583496001,1.02259776434508,821.507589447055,936.98951933502,5534,0.228223646457906,4.27653758526997,959.414859580519,636.462495556346,2813,0.557991879311251,2.34772338666637,980.204275534442,492.29809976247,842,0.967728389582028,1.45267309734799,,,,,,,,,,,,,,,
518.758892036512,32.5401322001889,3177,0.391018172808625,3.03346586368337,820.970825688073,938.443119266055,5450,0.286709700517025,1.54953802549701,959.220069204152,631.276124567474,2890,0.610060196198793,5.1900276805555,981.503901895206,492.053511705686,897,0.719597863652811,1.32244167928709,,,,,,,,,,,,,,,
