2,,,,,3,,,,,4,,,,,5,,,,,6,,,,,16,,,,,31,,,,,249,,,,,319,,,,,500,,,,
Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,
1.64075400658241,17.6998054209011,635.09756097561,0.718790904890205,,6.79818496302622,37.0651170175361,3950.52941176471,0.526295713773936,,5.68524205324339,30.7579011368415,4435.49411764706,0.600483153887326,,3.33595591899908,8.7117019110274,1271.36666666667,0.578276126349972,,3.97315006088473,159.642071650505,4143.56470588235,0.6291854380197,,1.78304684736838,9.2843022840904,618.126984126984,0.917454297559658,,16.6760696355161,14.3835842441224,2579.25,0.335446868156803,,14.2154535395231,5.97833687219896,2420.57407407407,0.521907912527243,,10.9374321516021,1.8013534855173,1599.3829787234,0.397180954335186,,15.5580474304249,6.39796886397976,1992.46153846154,0.18069039651476,
x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame
117.713305898491,1012.30864197531,729,0.830902558411043,0,485.010665169801,369.324726354196,3563,0.94439390956908,0,715.003351955307,340.670018621974,5370,0.305899278909573,0,834.354187689203,990.189707366297,1982,0.36053493639092,0,984.043941979522,958.819112627986,2344,0.106086317534256,0,,,,,,,,,,,,,,,,,,,,,,,,,
120.672151898734,1010.3253164557,790,0.993180907790501,3.56207099450593,487.182771323321,371.763105695664,3529,0.921610224096097,3.26553808047947,718.551407588739,342.940636474908,4902,0.21422833462353,4.21241073638271,834.148648648649,994.642702702703,1850,0.306271911469001,4.45773639454431,985.227034745359,960.876249405045,2101,0.0941960172764773,2.37308242842603,,,,,,,,,,,,,,,,,,,,,,,,,
120.229977116705,1010.62242562929,874,0.879110362227841,0.53272168990636,486.499334221039,374.53741677763,3755,0.784838771219409,2.8572518706428,720.256983240223,341.782721468476,5012,0.28887425578081,2.06149350352056,835.779328165375,993.929715762274,1935,0.270643867983391,1.77973763894898,981.098981670061,963.507128309572,2455,0.0820431372908373,4.89513493202841,547.003073770492,84.7510245901639,976,0.936148332958789,0,,,,,,,,,,,,,,,,,,,,
121.817694369973,1011.78820375335,746,0.820215422705163,1.96974229554638,486.619156504065,378.993648373984,3936,0.823200374901562,4.4578422381072,718.2680756396,349.768409343715,4495,0.237946505855804,8.22963937755282,836.448240165631,995.37784679089,1932,0.318636703647753,1.59515727755268,983.51081530782,966.060316139767,2404,0.0980741229264528,3.51222288479555,553.662735849057,84.9929245283019,848,0.982244836112314,6.66405391490383,,,,,,,,,,,,,,,,,,,,
124.376788553259,1014.09220985692,629,0.642843213063691,3.44345860497702,495.064225690276,379.765606242497,3332,0.76481228616093,8.48027785574572,719.721720430108,348.470107526882,4650,0.276220497984279,1.94901790257659,837.751149425287,1001.31264367816,1740,0.525142479569619,6.07613253904607,991.431380417336,973.818218298555,2492,0.425285801258067,11.0869471704073,555.204693611473,84.1447196870926,767,0.961105257762859,1.7598537421411,81.4279329608939,373.995530726257,895,0.154448108363423,0,,,,,,,,,,,,,,,
124.711141678129,1013.20632737276,727,0.662289243664952,0.946878972116182,496.05293062201,376.933313397129,3344,0.754942839307398,2.99990336576956,714.37139938713,349.799387129724,4895,0.391629094105688,5.51297737393003,837.202280912365,999.803721488595,1666,0.420480421479219,1.60564716505243,993.679705784019,974.486125041792,2991,0.631167404106141,2.34543522019529,555.519108280255,83.9872611464968,628,0.916940359151244,0.351638700872741,80.5,350,2,0,24.0134661058052,,,,,,,,,,,,,,,
125.385826771654,1013.50708661417,635,0.730243490679296,0.738685384122616,497.26089534539,379.587607471094,3373,0.996894699153465,2.91624001138722,716.456617002629,349.245617879053,4564,0.268676048665782,2.15749690312134,837.523160762943,1002.02384196185,1468,0.43316608719678,2.2431894245212,994.599237760188,973.236001172677,3411,0.749332417017673,1.55188554453257,556.160130718954,85.8758169934641,612,0.828659982397842,1.99438034337247,86.8940852819807,389.356258596974,727,0.341174926003755,39.8722888400594,,,,,,,,,,,,,,,
124.764601769912,1014.66548672566,565,0.640411206481731,1.31446236959858,494.522637795276,387.230643044619,3048,0.979125237954808,8.11874665135776,716.944536082474,351.57587628866,4850,0.253233409411847,2.38079173470043,837.718676122931,1002.01733648542,1269,0.342005352953266,0.195623559969411,991.228021124573,973.385834109972,3219,0.512760102112245,3.37454463792445,557.247457627119,86.628813559322,590,0.942438618886756,1.32260486669755,69.5121951219512,337.621951219512,82,0.637953267653582,54.5762646702852,,,,,,,,,,,,,,,
125.733537519142,1013.96018376723,653,0.568056200400776,1.19845264792384,492.177170035672,386.975029726516,3364,0.643512563340235,2.35935524661565,715.82142009024,356.928045594871,4211,0.293364565730777,5.46873896015868,838.043375394322,1003.47476340694,1268,0.446473470201111,1.49315868159023,993.91285488959,971.404968454259,2536,0.713404421808976,3.33648933637746,556.949033391916,85.0052724077329,569,0.950220759673732,1.65074010524369,,,,,,,,,,,,,,,,,,,,
126.427719821162,1012.75558867362,671,0.843301786012046,1.3903015528939,494.17761143246,381.847907451514,2939,0.54609194209245,5.50355781334264,722.837068965517,347.732974137931,4640,0.337481052664971,11.5658405764305,835.814297452753,1002.29498767461,1217,0.385373630596658,2.52203474365146,990.925833333333,963.340416666667,2400,0.249208886224591,8.59995891340735,557.082116788321,82.8485401459854,548,0.974443995706228,2.16083438496826,,,,,,,,,,,,,,,,,,,,
127.46314325452,1014.27260083449,719,0.483756394616401,1.83668929941251,491.429145459416,388.45352263595,3733,0.607299731158078,7.15459413033513,720.007385811467,350.057920310982,5145,0.508358096529964,3.66230548424016,832.240208877285,1004.75979112272,1149,0.470453617906549,4.34158556095421,990.176352032247,967.62546187437,2977,0.492608490298231,4.35009593603875,555.780984719864,84.044142614601,589,0.978842838447983,1.7670342165694,104.945192307692,328.371153846154,1040,0.772570713752829,36.6206846141313,,,,,,,,,,,,,,,
124.564263322884,1013.35423197492,638,0.796882343611775,3.04087260835964,492.438147295742,385.862773302647,3476,0.551606737770284,2.78029977047787,725.211097708082,350.406714917571,4974,0.498989500687682,5.2153883058267,829.046286329386,1008.14316469322,929,0.653988322204908,4.65277959498947,987.156728576083,968.056044314109,3069,0.45683813571427,3.050168364931,555.898305084746,83.1450094161959,531,0.962165346481703,0.906754970480026,,,,,,,,,,,,,,,,,,,,
128.156661786237,1014.01610541728,683,0.529459780702135,3.65286232606667,492.451480263158,390.780153508772,3648,0.428523385051399,4.91739828157253,720.212637557686,353.299787007455,5634,0.974238570905854,5.77533289017726,828.779608650875,1008.93614830072,971,0.810817576946333,0.836624160530611,980.684240202988,967.398928672117,3547,0.178967870390309,6.50575950268678,560.093699515347,81.3634894991922,619,0.787996478810635,4.55797626617378,97.7095709570957,318.706270627063,606,0.212054210176049,12.073283893286,,,,,,,,,,,,,,,
126.59807073955,1013.42443729904,622,0.754817464452045,1.66711643653263,496.836339783536,383.999016070843,3049,0.420776492555144,8.07532153945151,722.345863082738,355.483410331793,4762,0.539677946229105,3.05268111065219,828.970350404313,1006.05570530099,1113,0.613394750474162,2.88675151185775,975.754650416934,965.610968569596,3118,0.132885199826071,5.24382081949617,558.639705882353,80.9209558823529,544,0.997719563439627,1.51984653397018,,,,,,,,,,,,,,,,,,,,
126.888024883359,1012.63297045101,643,0.811480765346972,0.842907573245156,504.042085759661,373.72445738486,3778,0.464277549924656,12.5494753382029,712.873112374975,358.676014904883,5099,0.520130869101312,9.99628580681529,829.771004942339,1004.04118616145,1214,0.523161201902463,2.1677949748142,972.517125210556,965.20802919708,3562,0.193672105499694,3.26250357852017,559.093693693694,78.3009009009009,555,0.93882099384925,2.65909628232557,,,,,,,,,,,,,,,,,,,,
126.370481927711,1012.74548192771,664,0.8327140702063,0.529631516557031,504.386075949367,374.735176548967,3002,0.512693787173488,1.06765278967852,718.064692568842,351.90513013957,5302,0.424502718700928,8.53213838463129,831.257956448911,1002.78391959799,1194,0.511687949561875,1.94724009677563,977.169459962756,970.532854482575,3759,0.248671853692925,7.07092518469658,558.422182468694,78.5187835420394,559,0.901937899884184,0.705974624621795,,,,,,,,,,,,,,,,,,,,
127.569858712716,1013.56043956044,637,0.67992772686859,1.4500553836153,500.410736895417,374.847809572044,3949,0.459877018304536,3.97693434591915,711.703576341128,359.060694635488,5816,0.880436642571329,9.57423119199307,838.10421686747,993.831325301205,1660,0.41411682593878,11.2703250335361,963.124241548685,965.956082057209,3461,0.102570830271912,14.7721022922448,559.172185430464,79.0745033112583,604,0.940350025301242,0.933450001105443,98.7458926615553,377.259036144578,1826,0.132536661178526,58.5619356956744,,,,,,,,,,,,,,,
128.883355176933,1012.5753604194,763,0.696522916938114,1.64184465636315,499.994653911086,375.633933595948,3554,0.383457140155415,0.889447036539787,721.688248936993,349.362582141477,5174,0.830923660153632,13.9193057583027,836.337121212121,993.724116161616,1584,0.432886852938977,1.77034484063509,968.008013737836,964.86348025186,3494,0.103069841355517,5.00449892602396,558.413445378151,78.1126050420168,595,0.992530015783717,1.22512642096756,90.6744621141253,374.652011225444,2138,0.695503290266434,8.48201450193119,,,,,,,,,,,,,,,
