1,,,,
Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,
6.6041732894355,6.64656038200721,1891.0985915493,0.515355018577617,
x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame
69.0726902173913,903.889945652174,1472,0.49113533241704,0
72.3973313565604,909.372127501853,1349,0.481683053757258,6.41151749098523
74.2786312849162,910.758379888268,1432,0.568092070254986,2.33687507138752
72.9946929492039,911.701288855193,1319,0.645127230661948,1.59297676374124
74.8628659476117,912.752696456086,1298,0.951075611520422,2.14371833392248
74.440195280716,913.885272579333,1229,0.724370549090292,1.20887516626082
75.0724396336386,914.165695253955,1201,0.692999273994121,0.691642825629565
74.3823293172691,913.428915662651,1245,0.769612763378859,1.00950305344877
73.3357717629846,911.098024871982,1367,0.762899214950631,2.55506058488863
74.5372144436256,910.442888725129,1357,0.782138390910949,1.36845456109438
73.605504587156,909.294342507645,1308,0.896049288701237,1.47893261183147
72.6042670337233,908.569855471438,1453,0.77196074675669,1.23586330313497
74.5427204374573,910.337662337662,1463,0.756668673059127,2.62349818271641
75.9324577861163,909.399624765478,1599,0.889745933792721,1.67668851761041
74.8609047940581,907.604996623903,1481,0.833365681006412,2.09019520172733
74.6445141065831,907.882131661442,1595,0.790532088534705,0.351608814818062
74.744243932794,906.41008089608,1607,0.913617636890188,1.47542519093312
73.0986842105263,903.725,1520,0.930889806083031,3.14921041184001
73.708063566804,903.85874043555,1699,0.913405206833709,0.62388276459491
73.0675818373812,904.094508975713,1894,0.953056317427089,0.682498095422069
73.6637696903857,902.106463878327,1841,0.917951413469302,2.07551518069846
74.7044776119403,902.894527363184,2010,0.949725693853374,1.30541833683758
74.6819325616507,905.269250125818,1987,0.911149697582246,2.3748297788817
77.8549862763037,903.245196706313,2186,0.654034216468823,3.76365010609158
80.4335260115607,907.773740710157,2422,0.559453046543074,5.2111973634713
81.7325962325962,906.177313677314,2442,0.581267722265578,2.05819404099171
81.915260592426,902.583802024747,2667,0.637284997371296,3.59815122882369
83.0560747663551,903.385600553825,2889,0.739287893189676,1.39439515943984
84.2273936170213,898.142619680851,3008,0.967436425449263,5.3722282420141
86.9794776119403,896.22605721393,3216,0.915301644987239,3.35368126164348
89.0373497888925,892.123741474505,3079,0.776163912598973,4.58953508785077
94.4910740415569,887.728709394205,3417,0.738205649071962,7.00424265791529
98.5789151087956,886.385534783941,3263,0.753696490850041,4.3028551712394
106.855475763016,878.574805505685,3342,0.811214972571303,11.3801998278236
110.375163057657,876.147143229846,3833,0.872255852019469,4.27571546967169
142.343490304709,839.073130193906,1805,0.727458661073769,48.9536146731134
151.680166147456,832.948078920042,1926,0.522678778773755,11.1664573119677
157.773615635179,823.878935939196,1842,0.469684858920022,10.9260917562707
160.653118040089,821.139755011136,1796,0.463045727756369,3.97424788564239
165.360223236936,820.596651445966,1971,0.251394682565787,4.73833312639358
170.340277777778,820.588541666667,1728,0.159946648385813,4.98006114403061
172.459763948498,820.234978540773,1864,0.15490926032821,2.14877372281626
181.019176536943,817.65595036661,1773,0.117460536946431,8.93951509771961
189.529654461062,815.601856627127,1939,0.202375351398303,8.75485782794361
201.302135678392,818.538944723618,1592,0.145181001707695,12.1333342696443
207.440753045404,820.932447397564,1806,0.190922243330187,6.58873874339918
215.326400924321,825.498555748122,1731,0.223175852466701,9.11223287341312
219.072368421053,827.801535087719,1824,0.345856054542501,4.39727032659788
221.625071880391,830.090856814261,1739,0.336831450721358,3.42889033346567
226.186085972851,831.894230769231,1768,0.299623830169996,4.90459041848332
230.48866777225,832.311221669431,1809,0.186461721105718,4.32274120800339
243.515058389674,834.279655808236,1627,0.334372036565759,13.1742774176247
231.627968337731,830.710290237467,1895,0.0928135446817976,12.4114173437526
239.224608241439,828.031340684852,1723,0.0704666484368437,8.05516657382528
246.435051546392,828.558762886598,1940,0.0678459462090598,7.22970724392264
246.422363540011,825.057763645999,1887,0.0573643230522795,3.50102223188891
250.108485499463,824.484425349087,1862,0.0793473840594212,3.73044392836332
254.367864693446,824.25,1892,0.0735137873521174,4.2658254022441
263.512406231968,820.884016156953,1733,0.120530342489127,9.74435668381443
266.020022883295,821.108123569794,1748,0.156290682633424,2.51761105067983
259.09436997319,819.969973190348,1865,0.0768575400765513,7.01855074196064
253.868932038835,823.59331175836,1854,0.0691578966192286,6.35875648096721
245.66268486917,825.684300341297,1758,0.0589647579543729,8.46845475063857
209.878557874763,826.791271347249,1581,0.0965668754024326,35.8012448046132
199.795856185253,820.650822669104,1641,0.175663707273315,11.805337069672
182.987397605545,819.969754253308,1587,0.0986100585752021,16.8222511577003
169.343255224826,827.359088030399,1579,0.128164929665514,15.5165999811362
153.544325239977,837.523997741389,1771,0.401666612685,18.7864732746389
146.78596287703,843.674013921114,1724,0.552833508731779,9.13773280632437
135.558685446009,855.306338028169,1704,0.850704032138189,16.1667165078345
127.572958500669,864.461178045515,1494,0.928610545903712,12.1483715200325
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
