1,,,,,2,,,,,17,,,,,64,,,,,108,,,,,115,,,,,254,,,,
Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,
9.02834643221865,13.8992177047292,3149.6,0.208313554445213,,9.16876851191866,21.2002957975641,3777.37647058824,0.496246758286225,,4.66028366406796,1.64276506380913,3400.85714285714,0.550097792539463,,14.2649967585283,6.06496960952611,2332.41176470588,0.364410628345289,,8.83230051704339,18.6291225243564,3213.82,0.290006966925701,,9.64507616897581,2.03562636262098,3307.59090909091,0.597555264110584,,9.39021304650946,5.84203409092486,2999.84615384615,0.402862520975123,
x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame
645.538376790305,1006.78075651855,2723,0.169777596257688,0,835.020993136859,244.245660072669,4954,0.332428940535972,0,,,,,,,,,,,,,,,,,,,,,,,,,
649.039920948617,1008.36324110672,2530,0.156151409221283,3.84253418519786,838.598894009217,251.821751152074,5425,0.325925405014896,8.37845634325672,,,,,,,,,,,,,,,,,,,,,,,,,
652.318102697998,1009.44604003481,2298,0.144323095795656,3.45238020801009,842.921486020682,258.547108387591,5222,0.313543239401544,7.99470022220388,,,,,,,,,,,,,,,,,,,,,,,,,
654.195485110471,1010.96637848223,2082,0.114504085007152,2.41578014673342,846.825754527163,266.203219315895,4970,0.296018091308708,8.59414609587263,,,,,,,,,,,,,,,,,,,,,,,,,
646.648804616653,1016.50370981039,1213,0.0565501785886523,9.36025772687803,848.940836012862,270.610718113612,4665,0.266373571307587,4.88872328353929,,,,,,,,,,,,,,,,,,,,,,,,,
632.775362318841,1017.64637681159,690,0.0965199078113458,13.9204198595579,850.10661462613,271.963434675431,4868,0.284693959941784,1.7857440667055,,,,,,,,,,,,,,,,,,,,,,,,,
628.60582010582,1016.99206349206,756,0.12791685151295,4.22056965186868,847.718403074295,264.358667805295,4684,0.260058598093704,7.9709493515795,,,,,,,,,,,,,,,,,,,,,,,,,
628.9875,1017.6890625,640,0.123179939163009,0.794661663027444,852.304356677524,275.414495114007,4912,0.252129198752944,11.9692225282609,,,,,,,,,,,,,,,,,,,,,,,,,
