3,,,,,4,,,,,6,,,,,7,,,,,8,,,,,31,,,,,32,,,,,70,,,,,172,,,,,211,,,,,390,,,,
Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,
2.76947057565125,8.14740073559043,2623.85882352941,0.832188345298528,,1.93908005979909,16.5185857045823,689.211764705882,0.923326746197233,,17.3707353330898,10.5324065481218,3303.73417721519,0.542441784006093,,11.3445596054713,4.53150844592831,3503.14285714286,0.783863510564118,,9.59618698391915,2.48885224199571,3067.8875,0.549951210472105,,10.2929485457378,8.25531985926868,3907.03658536585,NaN,,3.22635141532393,4.82181472705337,4831.28048780488,0.416213686533295,,12.6356178259322,3.82664745343,2459.66666666667,0.457134848066569,,14.1303320185691,12.7036348699427,1027.82857142857,0.388611293273894,,18.508052940906,2.77656193941428,2613.81132075472,0.450822893388612,,8.50921470260299,1.54994468377436,3159.38095238095,0.331928530671641,
x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame
304.285754824064,952.762485811578,3524,0.90666070592969,0,431.984034833091,785.619738751814,689,0.975330861663394,0,687.821803694314,345.13654473017,5522,0.11096613733889,0,824.457337883959,325.403412969283,5860,0.999011604122946,0,898.1351841771,46.4986390854654,5511,0.421625486226713,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306.39716713881,957.681019830028,3530,0.919138545602524,5.35257310585463,433.644859813084,789.033377837116,749,0.919217218392273,3.79621804153409,688.37385620915,333.148039215686,3060,0.131584747543105,12.0012093744735,826.239243580847,329.125260235947,5764,0.880009050849783,4.12641914848387,897.210268948655,47.8309465595529,5726,0.426109232165189,1.62188513320729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304.974844544941,960.769926512154,3538,0.658617947006716,3.40063906522163,434.511821974965,790.068150208623,719,0.939562501601913,1.34995453662994,685.622278248911,352.916571166628,4363,0.236085278667765,19.9591091175607,829.520750817978,332.24797657999,5807,0.865873629527281,4.52986171010738,898.236753290584,47.2823152210597,5926,0.484475497676351,1.16390139178601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311.464929859719,959.067635270541,3992,0.942809418581505,6.70962017288451,436.239071038251,789.823770491803,732,0.858269567165401,1.74445142455036,690.956474664357,363.705067128627,4618,0.27918232712675,12.0351691521397,805.92032,314.03904,3125,0.463825446434245,29.8084837951927,909.762883235486,69.4197651663405,3066,0.919418136343962,24.958332508134,848.208864426419,356.303881807648,3452,NaN,0,888.612259444049,23.6810406272274,2806,0.674598061542055,0,,,,,,,,,,,,,,,,,,,,
312.978733926805,962.951285855588,4044,0.990581390344852,4.16825438526295,436.444771723122,792.144329896907,679,0.971788290366749,2.3296584995172,701.050029661855,357.931975479533,5057,0.294654337203557,11.6279163944515,813.263897972531,320.198168737737,3058,0.73342787694587,9.58451898879973,911.933454325469,72.5765275257108,3306,0.825049160811231,3.83099562127214,852.065445026178,360.788939790576,3056,NaN,5.91514657744523,888.27856135402,25.6830042313117,2836,0.888403900599838,2.02958436320523,,,,,,,,,,,,,,,,,,,,
313.632004169924,962.515767526714,3837,0.85727216047886,0.785135800566419,438.155279503106,791.430124223602,644,0.941832687810241,1.85362526125546,685.25622022234,330.394123875066,3778,0.700972229808475,31.7455144485228,814.542848335388,319.305795314427,3244,0.602995494913944,1.55950131685863,911.578899637243,73.5447400241838,3308,0.952802655420796,1.03108897246656,851.052176419718,364.438743153647,3469,NaN,3.78784607104363,890.173526506421,26.1366480079025,3037,0.746275016982129,1.94850855909176,,,,,,,,,,,,,,,,,,,,
311.612195121951,964.03262195122,3280,0.767532685645585,2.52596039862417,439.040446304045,792.574616457462,717,0.778294779628192,1.44685270115815,674.618545043347,334.655484357331,2653,0.97226705344851,11.4594644889527,813.724159597864,330.413132265159,3183,0.768292772133538,11.1374676379349,910.408992248062,79.1525581395349,3225,0.988235533727565,5.72855193867703,853.975342465753,364.259246575342,2920,NaN,2.92867184135066,888.471801482436,27.6306799871093,3103,0.93676700373678,2.26450869111758,,,,,,,,,,,,,,,,,,,,
314.596338028169,966.667605633803,3550,0.961819744196897,3.98098579402264,438.109243697479,794.542016806723,714,0.940693250021012,2.17664935824475,671.805333333333,341.651666666667,3000,0.857292686524693,7.54060521648065,806.960681520315,323.545871559633,3052,0.666069435492868,9.63866719537212,911.815836832634,87.4640071985603,3334,0.960493379349636,8.42967360850421,848.462526766595,360.008259406546,3269,NaN,6.96146743453949,890.508732394366,30.8033802816901,3550,0.958314669657175,3.77029371524409,,,,,,,,,,,,,,,,,,,,
